Cluster Index	Z	x	y	z	
56	4.57	51	24	18
56	4.18	54	33	22
56	4.12	42	26	19
56	3.95	48	21	18
56	3.91	54	32	20
56	3.74	44	26	20
55	4.37	51	29	16
55	4.06	50	32	16
55	3.88	47	24	17
55	3.72	50	27	19
54	4.79	25	40	21
54	4.63	25	38	21
54	4.42	22	38	21
53	4.33	46	34	17
53	3.69	44	33	19
53	3.66	48	36	18
52	4.49	47	29	31
52	3.56	50	30	32
52	3.45	50	27	32
51	4.39	31	38	22
51	4.16	28	38	22
50	4.11	34	46	20
50	3.72	35	43	20
49	3.78	51	30	19
49	3.62	49	31	19
49	3.44	52	34	18
48	3.96	41	25	11
48	3.73	41	27	9
48	3.67	42	25	9
47	3.79	42	39	22
47	3.4	39	37	22
46	5.12	27	36	22
46	3.72	30	39	20
45	4.04	25	45	26
45	4	27	43	26
44	4.36	34	37	33
44	3.58	36	35	33
43	3.83	28	33	49
43	3.81	26	31	50
42	3.69	52	40	33
42	3.46	53	36	32
42	3.33	51	37	32
41	4.19	55	39	24
41	3.31	54	39	22
40	3.95	30	35	33
40	3.39	30	33	33
39	4.51	31	38	13
38	3.61	44	36	17
38	3.6	42	35	17
38	3.57	42	38	18
37	3.88	37	33	50
36	3.88	39	42	48
35	3.95	35	41	29
35	3.53	35	39	28
34	4.51	32	39	48
34	4.24	32	41	46
33	3.54	49	26	26
33	3.52	51	26	25
32	3.9	27	44	23
32	3.55	29	43	24
31	3.76	30	46	49
31	3.74	28	46	47
31	3.4	29	44	48
30	3.96	30	32	23
30	3.56	27	32	25
29	4.18	34	30	43
28	4.93	29	35	51
28	3.82	31	37	50
27	4.48	47	47	25
27	3.85	47	50	25
26	4.24	55	30	29
25	4.4	20	37	30
24	3.73	37	38	49
24	3.59	39	39	50
24	3.43	37	39	51
23	4.31	38	35	23
23	3.82	37	33	24
22	4.1	25	44	20
21	4.39	35	39	22
20	4.85	26	38	49
20	3.45	28	37	49
19	4.08	29	38	31
19	4	27	40	30
18	4.54	42	35	10
17	3.75	31	44	21
16	3.61	37	29	23
15	3.93	37	31	11
14	3.41	37	27	22
13	3.58	21	20	26
13	3.44	19	21	26
12	3.83	51	34	27
11	4.08	48	24	28
10	4.76	31	28	49
10	4.57	32	27	47
9	4.63	30	40	29
9	3.93	32	42	29
8	3.65	23	37	17
7	3.91	52	36	29
7	3.72	51	35	31
6	3.72	43	20	31
5	3.57	39	25	31
4	4.05	26	38	13
4	3.47	28	37	13
3	3.66	51	33	43
3	3.55	53	35	43
2	3.53	48	32	14
1	3.97	29	44	39
1	3.25	30	42	38
