Cluster Index	Z	x	y	z	
126	6.67	42	11	29
126	5.74	49	16	24
126	5.68	38	12	14
126	5.57	46	17	24
126	5.57	45	12	19
126	5.56	38	19	21
125	6.35	27	68	24
125	6.22	23	68	24
125	6.04	29	68	23
125	5.98	25	68	23
125	5.92	30	66	22
125	5.59	21	67	26
124	5.85	30	63	20
124	5.65	27	59	22
124	5.6	26	61	24
124	5.45	30	60	21
124	5.22	27	63	24
124	5.17	26	61	20
123	5.44	47	30	14
123	4.85	44	31	12
123	4.71	49	30	18
123	4.67	45	33	12
123	4.38	40	29	13
123	4.13	48	29	16
122	4.87	12	46	22
122	4.8	14	48	19
122	4.74	16	50	16
122	4.67	20	49	23
122	4.64	22	50	22
122	4.11	16	51	20
121	5.42	24	17	36
121	5.2	28	18	43
121	4.62	24	15	35
121	4.6	26	17	40
121	4.42	27	20	40
121	4.41	23	14	33
120	5.07	31	15	29
120	4.64	29	16	28
120	4.57	34	16	28
120	3.75	27	20	27
120	3.58	30	20	27
119	5.19	38	68	30
119	4.95	38	70	27
119	4.37	39	66	30
119	4.16	40	68	25
119	4.1	41	68	29
119	4.07	43	69	28
118	5.25	17	47	24
118	5.1	17	49	26
118	4.59	14	46	24
118	4.37	13	48	23
118	3.9	14	50	22
117	4.99	15	53	26
117	4.41	15	52	24
117	4.36	13	52	28
117	4.17	16	56	23
117	3.65	18	53	26
116	5.03	47	31	44
116	4.82	45	27	45
116	4.52	48	34	45
115	4.73	14	35	18
115	4.52	16	36	19
115	4.26	11	34	17
115	4.15	14	34	20
114	5.07	39	27	49
114	4.77	39	30	49
114	4.7	42	34	48
114	4.33	40	34	49
114	4.13	38	35	49
113	4.39	46	33	16
113	4.08	42	36	17
113	3.82	44	35	16
112	4.97	22	37	13
112	3.65	27	38	14
112	3.54	25	38	14
111	4.07	48	31	27
111	3.68	48	31	29
111	3.46	46	29	29
111	3.16	48	29	31
110	5.15	46	15	13
110	4.75	47	16	11
110	4.69	47	19	14
110	4.41	48	17	14
110	3.86	49	20	12
110	3.67	49	21	15
109	4.27	42	19	41
109	4.22	44	20	40
109	3.77	38	16	40
109	3.47	40	19	39
108	5.13	39	13	34
108	4.96	37	13	32
108	4.95	40	16	34
108	4.8	36	16	33
108	3.45	35	12	33
107	5.39	42	17	28
107	4.17	44	17	29
107	4.08	43	19	29
107	4.01	40	17	27
106	4.31	36	65	28
106	4.23	37	64	24
106	4.23	34	66	28
106	4.16	38	68	26
106	3.52	36	67	25
106	3.39	34	63	27
105	4.75	24	17	32
105	4.5	22	15	29
105	4.49	24	17	28
105	3.66	24	15	30
105	3.49	23	18	30
105	3.47	22	13	30
104	4.64	20	39	19
104	4.08	17	38	18
104	4.07	15	39	19
103	4.39	41	28	27
103	4.05	40	27	29
102	5.22	41	59	24
102	4.86	38	60	23
102	4.39	40	61	25
101	4.59	13	47	14
101	3.75	11	46	17
100	3.79	39	42	18
