Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
8	968	2.3e-16	15.6	4.37	25	13	28	23.4	17.7	26.3	220	20	18	18	58.9
7	871	3.77e-15	14.4	4.93	40	16	21	41	18	23.1	185	41	22	19	64.4
6	344	1.79e-07	6.75	4.53	27	48	48	30.3	44.4	45.7	141	35	40	50	52.1
5	279	2.68e-06	5.57	4.29	25	38	38	26.3	46.3	32.9	62.3	27	47	31	28.6
4	262	5.6e-06	5.25	4.44	41	64	20	37.8	55	25	163	32	49	25	42.1
3	130	0.00346	2.46	3.81	39	21	41	36.7	23.7	42.3	92.1	33	25	45	51.5
2	101	0.0183	1.74	3.91	52	44	39	48.9	42.2	40.4	94.8	48	42	43	45.1
1	98	0.0219	1.66	4.41	38	35	36	40.1	36.2	36	52.6	39	37	33	25
