Cluster Index	Z	x	y	z	
18	9.13	41	15	20
18	8.74	40	21	40
18	8.11	48	20	21
18	8.02	48	18	23
18	7.37	45	15	25
18	7.14	44	18	20
17	8.39	20	14	28
17	7.25	20	16	20
17	6.93	21	14	22
17	6.83	17	18	21
17	6.77	17	18	23
17	6.16	19	17	22
16	6.61	25	23	38
16	5.84	22	21	41
16	5.31	23	23	34
16	4.9	24	25	43
16	4.84	22	20	36
16	4.63	22	19	38
15	4.87	33	16	28
15	4.08	34	19	28
15	3.79	28	18	26
15	3.74	32	19	29
15	3.73	33	16	31
15	3.56	30	20	28
14	6.97	18	45	35
14	5.4	18	47	34
14	5.31	15	48	35
14	3.97	13	49	37
14	3.89	14	48	33
14	3.41	16	43	37
13	7.07	45	47	34
13	5.47	47	49	34
13	3.81	44	51	35
13	3.39	49	46	31
13	3.01	49	49	36
13	2.99	48	47	29
12	4.94	17	54	31
11	4.46	19	34	31
11	3.94	20	30	31
11	3.59	22	32	31
10	4.9	24	44	44
10	3.46	26	48	47
10	3.24	23	46	46
9	3.96	16	35	41
9	3.76	16	35	44
8	4.41	35	22	39
8	3.9	36	20	36
8	3.69	37	20	38
8	3.37	33	20	38
8	2.77	32	20	40
7	4.81	39	24	43
7	3.23	42	25	43
6	4.26	20	30	35
6	3.71	18	31	36
6	3.21	21	33	34
5	4.22	31	39	44
5	3.62	31	40	40
5	3.56	32	37	42
4	4.91	45	31	36
4	3.23	42	28	37
3	3.17	19	36	42
3	3	22	34	46
2	4	46	34	18
2	3.76	43	33	17
2	3.29	44	34	19
2	2.94	48	31	19
1	3.72	49	53	29
1	3.28	49	50	27
1	2.93	47	50	27
1	2.58	47	53	28
