Cluster Index	Z	x	y	z	
28	10.3	41	15	20
28	9.59	49	19	22
28	8.67	40	21	40
28	8.64	41	22	38
28	8.33	47	16	22
28	8.2	44	19	19
27	8.14	20	14	28
27	7.54	17	18	21
27	7.37	21	14	21
27	7.09	20	16	20
27	6.92	19	23	19
27	6.89	17	18	23
26	6.29	18	45	35
26	5.22	15	48	35
26	5.01	19	47	35
26	4.65	13	48	33
26	4.21	13	49	37
26	4.09	14	43	36
25	4.68	22	40	47
25	4.16	16	35	41
25	4.05	17	33	43
25	3.98	20	34	43
25	3.69	23	34	47
25	3.3	18	37	42
24	7.12	44	47	34
24	5.33	47	50	35
24	4.38	48	46	32
24	3.55	44	52	34
24	3.09	42	42	30
24	2.95	49	49	36
23	4.44	33	16	32
23	4.05	32	16	29
23	3.97	34	19	28
23	3.49	31	18	26
23	3.47	35	17	29
23	3.46	30	20	28
22	5.2	24	44	44
22	5.16	24	41	39
22	4.3	22	40	43
22	4.19	25	47	42
22	4.01	26	47	47
22	2.87	24	48	44
21	4.71	32	40	39
21	4.63	29	38	40
21	4.17	32	37	41
21	4.05	33	35	41
21	4.02	35	40	42
21	3.42	29	41	38
20	4.98	52	32	19
20	4.28	46	34	18
20	4	48	31	19
20	3.9	51	33	17
20	2.8	50	29	16
20	2.71	55	32	20
19	4.57	21	59	36
19	3.57	28	61	41
19	3.51	22	57	37
19	3.37	29	59	43
19	3.11	22	57	39
19	3.1	20	58	34
18	5.7	45	31	36
18	2.88	42	26	38
17	4.29	29	13	13
17	4.09	31	16	12
17	3.89	28	14	11
17	3.31	33	20	15
17	3.3	32	18	13
17	2.85	26	13	12
16	4.23	42	62	19
16	3.87	40	64	19
16	3.04	42	64	21
16	2.99	40	64	22
15	5.22	17	54	32
15	4.47	19	55	30
14	4.47	19	34	31
14	3.74	17	37	31
13	4.51	30	19	13
13	3.97	30	20	16
13	3.57	28	20	14
13	3.39	32	17	16
13	2.88	30	19	18
13	2.81	28	19	17
12	3.42	44	15	12
12	3.42	50	20	14
12	3.04	48	20	10
12	2.79	46	16	12
12	2.4	47	16	9
11	3.19	13	38	31
11	2.89	13	36	31
11	2.59	13	34	32
10	4.49	31	47	41
10	3.64	31	45	42
10	3.32	29	46	41
10	2.59	30	45	39
9	3.94	36	48	37
9	3.26	33	48	38
9	3	37	46	38
9	2.38	34	48	41
8	4.09	49	24	10
8	3.99	48	23	8
8	3.97	46	23	6
8	3.11	48	22	10
7	4.15	21	38	38
7	4.02	20	36	39
6	3.69	46	55	17
6	3.4	43	57	17
6	3.16	39	56	17
6	2.92	41	55	18
6	2.82	44	55	18
6	2.68	39	56	19
5	3.74	34	64	15
5	3.49	34	61	16
5	3	34	66	17
5	2.95	37	60	16
4	3.38	13	38	35
4	3.36	15	37	35
3	3.91	48	36	37
3	3.01	50	38	38
3	2.49	51	40	37
2	3.3	51	41	13
2	2.85	49	41	15
2	2.66	45	41	14
1	3.42	53	25	23
1	2.98	55	26	24
