Cluster Index	Z	x	y	z	
15	4.19	24	68	21
15	4.1	22	67	21
15	3.82	22	65	18
15	3.69	24	66	21
15	3.3	26	69	20
15	3.12	23	68	23
14	3.64	37	27	26
14	3.36	35	25	28
14	3.13	39	27	26
14	2.44	37	27	30
14	2.34	34	26	24
13	3.49	36	20	24
13	3.24	32	24	22
13	3.04	30	21	23
13	2.92	32	21	21
13	2.91	32	24	19
13	2.89	31	18	25
12	3.4	28	24	27
12	3.36	29	28	25
12	3.07	26	26	25
12	2.68	25	23	23
12	2.66	21	22	25
12	2.66	25	23	25
11	3.74	27	36	48
11	3.67	29	33	47
11	2.82	27	32	48
11	2.72	26	34	47
11	2.48	27	35	44
10	3.28	43	25	16
10	3.16	42	25	13
10	2.86	43	28	13
10	2.73	40	23	9
9	3.71	47	25	14
9	3.3	47	22	13
9	2.73	48	28	15
8	3.41	24	30	26
8	3.15	24	28	25
8	2.83	22	30	24
8	2.79	26	32	28
8	2.77	22	27	24
8	2.72	24	27	27
7	3.12	38	42	32
7	2.95	35	46	29
7	2.74	38	44	32
7	2.67	36	44	29
6	2.89	34	24	44
6	2.88	35	26	43
6	2.84	39	28	46
6	2.81	34	26	45
6	2.74	35	28	46
5	3.24	45	27	9
5	2.91	43	30	9
5	2.72	46	30	11
4	3.14	19	24	12
4	3	21	25	10
4	2.79	21	23	10
4	2.72	22	24	12
3	2.89	34	24	9
3	2.65	35	21	9
3	2.58	36	25	8
3	2.53	37	20	8
2	3.5	48	22	34
2	3.39	48	21	32
1	3.39	50	32	17
1	3.26	52	28	20
1	2.72	48	33	17
