Cluster Index	Z	x	y	z	
8	8.04	41	12	23
8	6.82	43	14	22
8	6.81	42	25	39
8	6.16	42	13	27
8	6.03	47	34	37
8	6.01	43	18	32
7	6.44	22	12	24
7	6.2	25	18	19
7	6.16	25	14	27
7	6.06	22	11	26
7	5.24	27	12	32
7	5.01	18	17	22
6	6.28	20	28	40
6	4.93	24	25	38
6	4.87	13	32	39
6	4.83	23	28	38
6	4.81	13	36	39
6	4.67	15	36	38
5	6.05	49	46	31
5	4.89	46	49	32
5	4.14	50	47	35
5	3.63	53	46	30
5	3.19	54	44	30
5	2.99	46	52	36
4	4.99	38	68	31
4	4.56	27	64	39
4	4.3	39	68	33
4	4.22	38	62	38
4	4.06	37	64	37
4	3.77	31	66	38
3	4.49	15	63	23
3	4.33	23	70	29
3	3.98	16	63	20
3	3.74	21	67	23
3	3.57	20	67	25
3	3.36	20	65	19
2	5.83	47	43	39
2	4.43	41	42	39
2	3.95	36	44	37
1	4.35	18	47	32
1	4.34	16	48	31
1	3.93	15	48	27
1	3.46	17	48	36
