Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
49	6017	0	393	6.47	44	53	24	32.2	42.1	29	3.83e+03	34	41	18	316
48	153	1.5e-31	30.8	5.23	33	52	40	32.5	54.6	39.4	1.45e+03	28	64	37	314
47	70	1.23e-17	16.9	5.22	32	14	35	33.5	12.5	32.3	2.69e+03	33	13	33	804
46	62	4.68e-16	15.3	4.87	16	44	12	16	43	12.1	850	16	43	11	300
45	53	3.4e-14	13.5	4.69	33	27	46	31.4	27.8	44.4	1.14e+03	33	27	46	407
44	44	3.18e-12	11.5	5.42	36	63	39	32.8	65.4	34.5	1.57e+03	36	66	35	609
43	43	5.37e-12	11.3	4.21	24	23	19	23.8	23.7	19.2	1.64e+03	23	24	19	722
42	34	7.23e-10	9.14	4.2	42	13	30	42.6	15.3	28.8	485	47	17	27	252
41	32	2.28e-09	8.64	4.93	15	21	39	18.3	21.8	39.4	492	15	21	39	261
40	31	4.07e-09	8.39	3.84	40	34	47	40.2	34.1	45.7	603	39	34	49	286
39	29	1.33e-08	7.88	4.58	45	35	14	44	37.8	13.9	941	47	34	15	348
38	28	2.43e-08	7.62	4.12	39	20	22	36.9	16.7	20.8	2.76e+03	36	13	20	776
37	26	5.96e-08	7.22	4.99	35	20	43	33.9	20.1	40.5	943	35	20	43	413
36	25	1.79e-07	6.75	3.99	40	22	38	37.4	23.7	39	535	38	21	40	221
35	24	2.98e-07	6.53	4.23	32	55	46	29.7	55.2	42.9	1.07e+03	32	56	44	410
34	23	5.36e-07	6.27	4.44	43	44	16	40.6	43.9	16.5	1.08e+03	38	45	18	474
33	21	2.03e-06	5.69	4.02	48	43	10	48.2	42	12.1	558	48	43	10	331
32	20	3.99e-06	5.4	4.4	24	39	48	26.3	38.8	49.5	718	27	39	50	405
31	19	7.93e-06	5.1	5.29	15	45	20	16.4	43.4	18	445	15	45	20	229
30	18	1.59e-05	4.8	4.48	37	50	15	38.7	49	14.6	1.83e+03	36	50	14	657
29	17	3.22e-05	4.49	4.41	41	58	42	39.2	56.3	43.1	1.23e+03	37	54	45	467
28	17	3.22e-05	4.49	4.18	28	45	33	27.7	46.7	33.1	299	28	45	33	166
27	16	6.64e-05	4.18	4.68	13	24	20	13.3	25.4	19.9	995	13	25	20	541
26	15	0.000139	3.86	4.05	49	33	14	49.8	31.2	14.1	1.55e+03	49	31	12	870
25	14	0.000295	3.53	5.16	45	41	44	43.3	41.5	41.9	413	46	40	44	236
24	14	0.000295	3.53	3.94	19	17	23	19.3	13.6	24.5	448	19	17	23	329
23	13	0.000638	3.2	3.88	20	67	25	21.7	68.1	25.8	652	20	67	25	357
22	13	0.000638	3.2	4.61	39	24	30	38.5	24.4	30.1	421	39	24	30	284
21	12	0.00141	2.85	5.08	31	50	38	30.2	50.3	35.4	377	31	50	38	200
20	11	0.00318	2.5	4.66	24	48	41	25.2	48.9	42.3	275	26	50	45	159
19	11	0.00318	2.5	4.38	46	14	33	47.2	15.5	33.7	293	51	19	33	201
18	11	0.00318	2.5	3.7	20	23	18	19.6	23.5	17.5	1.69e+03	18	23	18	903
17	10	0.00734	2.13	3.99	17	55	22	17.3	54.9	22	458	16	54	23	255
16	10	0.00734	2.13	2.93	14	25	17	14.2	25.6	16.2	2.1e+03	16	25	17	778
15	10	0.00734	2.13	4.35	46	39	32	47.3	38.1	32.9	218	46	39	32	143
14	10	0.00734	2.13	3.97	51	41	36	51.2	41.1	35.4	306	51	41	36	219
13	10	0.00734	2.13	3.2	44	29	13	44.3	26.4	13	682	44	23	13	473
12	9	0.0174	1.76	4.39	38	58	39	37.8	57.6	37.9	334	38	57	40	169
11	8	0.0423	1.37	4.23	31	47	49	31.5	47.5	48.8	686	32	49	48	530
10	8	0.0423	1.37	3.92	42	64	34	40.7	65	33.9	961	42	64	34	675
9	8	0.0423	1.37	3.08	32	26	13	31.3	25.5	13.6	656	31	26	13	437
8	8	0.0423	1.37	3.81	43	46	38	43.4	45.3	36.6	189	44	45	37	123
7	8	0.0423	1.37	3.53	35	55	18	34.2	53.9	19.2	497	34	55	18	328
6	8	0.0423	1.37	4.5	23	12	22	22.4	12.6	21.8	588	23	12	22	316
5	8	0.0423	1.37	3.8	41	28	34	41.5	28.8	33.2	175	40	28	34	121
4	8	0.0423	1.37	3.34	31	42	19	29.5	42.4	20.1	1.51e+03	31	42	19	658
3	8	0.0423	1.37	3.7	12	30	19	11.6	30.8	18.8	619	10	32	18	486
2	8	0.0423	1.37	3.21	39	14	35	38.6	13.9	35.6	625	39	14	36	491
1	8	0.0423	1.37	3.28	17	22	25	15.8	20.5	26.2	278	17	21	25	219
