Cluster Index	Z	x	y	z	
89	6.93	25	52	44
89	6.5	27	53	44
89	6.36	16	54	36
89	6.3	33	64	27
89	6.23	29	60	30
89	6.15	32	19	34
88	6.97	31	44	25
88	6.48	29	45	26
88	5.7	33	40	28
88	5.44	28	51	25
88	5.37	41	46	22
88	5.36	30	46	24
87	5.11	37	12	24
87	4.8	31	17	26
87	4.77	39	9	26
87	4.75	29	17	27
87	4.75	40	10	23
87	4.7	36	14	25
86	5.21	52	45	19
86	4.89	48	48	15
86	4.22	51	40	21
86	4.11	50	48	17
86	3.99	52	43	20
86	3.57	51	48	20
85	5.62	17	51	22
85	4.85	15	50	22
85	4.44	18	51	18
85	4.26	19	51	24
85	4.24	16	51	20
85	4.07	17	49	24
84	5.11	39	67	20
84	4.77	38	68	24
84	4.77	37	68	21
84	4.63	36	69	23
84	4.33	41	67	24
83	5.73	18	17	13
83	4.99	21	18	14
83	4.03	22	16	13
83	3.91	17	22	14
82	5.09	10	33	24
82	4.1	13	33	25
81	4.17	49	37	31
81	4.15	50	39	28
81	4.14	48	38	28
81	3.27	52	37	28
80	4.67	47	18	14
80	3.87	43	15	12
80	3.45	48	20	13
79	3.98	31	19	11
79	3.82	33	20	12
79	3.74	36	18	14
79	3.72	34	18	14
79	3.67	30	21	10
79	3.52	36	17	12
78	4.35	27	24	19
78	3.75	24	25	20
78	3.32	26	22	20
77	4.7	48	51	21
77	4.17	46	51	21
77	3.72	49	49	20
77	3.64	47	49	21
77	3.41	50	51	20
77	3.26	49	52	17
76	4.48	16	46	30
76	4.26	14	46	29
75	4.07	23	23	17
75	3.76	23	21	19
75	3.57	19	23	18
75	3.54	17	22	17
74	4.68	42	21	16
74	4.04	41	21	18
73	4.33	55	39	17
73	4.04	52	40	16
73	3.48	52	40	18
72	3.66	38	25	31
72	3.46	37	26	29
72	3.44	40	26	31
72	3.18	36	28	29
71	5.56	26	31	19
71	3.93	25	29	19
71	3.89	24	27	21
70	4.43	43	25	42
69	5.39	29	16	10
69	3.77	28	18	8
69	3.74	26	16	9
69	3.68	25	17	7
68	4.52	13	46	14
68	4.34	15	43	12
67	4.25	31	38	33
67	4.21	32	33	32
67	3.96	32	35	33
66	4.39	53	39	27
65	4.95	52	24	28
64	3.94	46	20	8
64	3.84	44	20	7
64	3.42	47	23	7
63	4.72	26	36	20
63	3.74	23	36	20
62	4.16	52	51	25
62	3.45	50	52	29
62	3.24	51	52	31
61	4.51	13	44	18
61	4.31	14	47	17
60	4.97	34	58	20
60	3.76	33	57	22
60	3.25	35	58	22
60	3.19	33	60	21
59	5.17	49	44	11
59	4.28	49	42	11
58	4.22	23	16	10
58	3.84	19	19	8
57	4.38	43	28	36
57	3.42	45	29	38
56	4.16	51	42	33
56	3.83	52	44	33
56	3.78	51	44	31
55	4.08	13	23	21
55	3.52	12	25	22
54	4.53	24	22	14
54	4.47	26	20	13
54	3.37	23	21	16
53	4.41	55	40	22
52	4.64	46	23	17
52	3.64	44	23	18
51	4.24	40	15	14
51	3.65	39	17	15
50	3.84	27	10	20
50	3.3	28	9	22
49	4.06	14	46	12
49	3.92	16	46	14
48	3.73	40	30	29
48	3.44	39	30	27
47	4.54	36	30	41
46	4.63	35	20	28
45	4.09	47	53	21
45	3.45	49	55	22
44	3.97	46	53	16
44	3.92	44	51	15
44	3.31	46	51	17
43	4.48	39	51	27
42	3.99	31	34	26
41	4.09	45	18	15
41	3.79	45	18	17
40	4.43	38	33	36
39	4.44	22	31	20
38	3.32	23	26	27
37	4.37	29	26	31
37	3.6	29	25	29
36	4.04	45	44	36
36	4.03	43	46	36
35	3.96	25	65	23
34	3.99	10	39	22
34	3.9	8	37	22
33	4.53	55	31	23
32	3.96	38	30	49
31	4.58	50	35	21
30	3.6	46	41	34
30	3.57	49	41	32
29	3.73	39	35	31
28	4.28	13	52	33
27	4.58	15	58	20
27	3.51	15	56	20
26	3.56	47	20	17
26	3.55	49	21	16
25	3.73	26	31	30
24	5.63	23	47	25
23	4.34	27	24	27
22	3.72	25	14	19
22	3.51	23	16	19
21	3.49	43	36	29
20	3.73	46	23	41
20	3.44	46	24	43
19	3.75	13	28	20
18	4.05	22	55	25
17	4.57	45	19	12
16	4.39	48	22	20
15	4.08	30	55	17
14	4.18	36	68	31
13	3.69	23	54	18
12	3.43	12	45	25
11	3.7	43	25	26
11	3.49	41	27	26
10	3.49	12	44	30
10	3.27	11	43	32
9	3.79	48	21	30
8	3.96	48	53	32
7	3.57	11	32	30
7	3.41	12	34	30
6	4.53	12	48	29
6	3.91	12	48	26
5	4.1	48	61	30
5	3.37	46	63	31
4	4.34	48	45	14
4	3.38	46	46	13
3	3.73	22	51	28
2	3.82	25	13	14
1	4.1	41	35	41
