Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
51	657	0	87.5	6.92	25	19	36	21.8	20.8	27.5	2.86e+03	24	21	19	406
50	488	0	71.2	7.15	43	28	37	43.4	23	31.6	1.61e+03	44	25	18	361
49	153	1.03e-31	31	5.71	49	46	31	47.1	47.1	35.8	1.14e+03	47	47	42	315
48	137	2.85e-29	28.5	4.18	16	28	28	12.8	33	26.9	779	9	38	25	305
47	100	3.24e-23	22.5	6.13	18	44	35	16.2	46.8	32.9	680	14	48	23	285
46	85	1.49e-20	19.8	4.61	49	54	31	46.7	55.7	30.1	659	49	56	32	270
45	58	2.54e-15	14.6	6.28	21	43	39	19.1	42.5	41.2	825	17	42	43	304
44	56	6.65e-15	14.2	7.12	34	50	40	33.3	51.1	39.1	733	33	50	40	236
43	44	2.75e-12	11.6	4.71	30	32	23	32.2	32.5	25.2	1.4e+03	32	33	24	593
42	41	1.34e-11	10.9	4.42	39	16	22	38.7	14.4	22.5	616	34	18	22	308
41	39	3.96e-11	10.4	4.55	33	25	36	32.7	26.7	34.7	696	32	27	32	348
40	38	6.84e-11	10.2	4.47	19	55	29	19.4	54	28.3	452	19	53	31	218
39	29	1.2e-08	7.92	4.06	29	48	27	32.4	47.7	24.6	789	33	48	24	354
38	28	2.19e-08	7.66	4.29	36	45	29	36.5	45.5	29	581	36	43	30	303
37	27	5.96e-08	7.22	3.92	28	41	31	27.8	41.9	29.6	570	29	41	31	302
36	25	1.19e-07	6.92	3.62	14	28	34	15	27.1	34.7	410	14	25	34	259
35	22	9.54e-07	6.02	3.72	37	39	22	40.4	39.4	20.2	434	37	39	22	298
34	22	9.54e-07	6.02	4.14	35	20	43	34.5	20.6	43.1	1.01e+03	36	17	40	593
33	21	1.91e-06	5.72	3.65	12	37	38	13.6	35.7	38.8	422	13	35	40	251
32	20	3.7e-06	5.43	4	47	56	22	49.8	54.2	22.5	637	51	57	21	342
31	18	1.48e-05	4.83	3.8	43	35	19	42.9	33.3	17.7	648	42	34	16	340
30	18	1.48e-05	4.83	4.09	15	46	13	15.6	43	12	549	16	44	11	299
29	18	1.48e-05	4.83	3.95	33	65	37	34.4	65.3	35.3	1.12e+03	36	66	35	551
28	16	6.26e-05	4.2	3.75	55	48	23	52.4	46.7	23.2	452	53	46	23	249
27	15	0.000131	3.88	3.85	27	28	36	28.7	27	37.6	383	30	26	40	265
26	14	0.00028	3.55	3.4	11	48	33	10.5	48.3	32.8	386	11	49	32	264
25	13	0.000608	3.22	4.01	52	39	31	51.8	39.2	31.9	270	51	38	29	198
24	13	0.000608	3.22	3.71	52	40	23	52.2	38.8	22.4	430	52	40	23	279
23	12	0.00135	2.87	4.24	37	36	29	36.4	37.1	28.5	374	37	36	29	277
22	11	0.00305	2.52	4.18	43	53	26	42.9	54	24.9	312	43	55	24	228
21	11	0.00305	2.52	3.56	34	50	33	34.4	48.2	33.5	305	34	50	33	215
20	10	0.00709	2.15	3.61	52	37	34	50.6	36.2	36.2	348	50	36	37	253
19	10	0.00709	2.15	3.21	32	46	49	32	44.8	49.1	1.11e+03	32	46	48	607
18	10	0.00709	2.15	3.32	38	26	26	38	26.2	25.5	654	37	28	25	437
17	9	0.0169	1.77	3.36	16	27	14	16.6	27.3	14.4	876	17	27	14	718
16	9	0.0169	1.77	2.86	38	33	11	38.5	32.1	10.9	531	38	33	11	398
15	9	0.0169	1.77	4.06	43	49	44	43.5	50.4	42.8	878	43	49	44	411
14	9	0.0169	1.77	3.51	47	37	15	46.2	36.8	16	392	47	37	15	272
13	9	0.0169	1.77	4.07	32	26	13	32.2	26.5	12.9	566	32	27	13	447
12	9	0.0169	1.77	3.38	49	43	11	49	42.6	11.2	663	49	43	11	394
11	9	0.0169	1.77	3.74	25	65	35	25.2	64.1	36.1	548	25	64	36	385
10	9	0.0169	1.77	3.26	18	37	43	18.6	34.4	41.8	220	18	37	43	167
9	8	0.0412	1.39	3.38	40	58	34	40.1	58.4	34.1	296	41	60	35	214
8	8	0.0412	1.39	4.29	35	53	46	35.9	53.5	45.3	883	35	53	46	573
7	8	0.0412	1.39	3.01	29	60	26	29.3	59.5	27.1	246	29	60	26	186
6	8	0.0412	1.39	3.82	50	21	22	49.1	21.4	22.5	449	50	21	22	349
5	8	0.0412	1.39	3.51	17	44	28	17.3	44.8	27.4	240	17	45	26	189
4	8	0.0412	1.39	3.16	29	51	16	28.9	49.3	16.5	2.27e+03	29	51	16	1.49e+03
3	8	0.0412	1.39	3.99	33	68	31	33.9	67.4	32.2	743	35	68	31	537
2	8	0.0412	1.39	2.8	41	52	17	41.9	53.8	16.6	944	41	54	17	624
1	8	0.0412	1.39	3.63	28	34	22	27.4	34.4	21.9	617	28	34	22	411
