Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
23	19	4.17e-11	10.4	4.55	34	32	37	34	31.1	37.2	411	33	30	38	289
22	19	4.17e-11	10.4	5.2	45	18	36	45.5	18.9	36.1	539	45	18	36	334
21	13	5.96e-08	7.22	4.1	16	22	19	14.7	22.8	21	629	16	22	19	397
20	11	4.17e-07	6.38	4.44	48	29	34	48.7	29.9	35.7	297	49	31	37	216
19	11	4.17e-07	6.38	4.62	42	46	40	41.7	47.4	40.2	275	42	48	41	189
18	10	1.43e-06	5.84	3.77	21	19	36	20.1	18.4	35.8	279	20	17	36	210
17	10	1.43e-06	5.84	4.17	53	26	21	53.2	26.6	21.8	590	53	26	21	368
16	10	1.43e-06	5.84	4.39	11	37	33	11.3	36.8	33.6	375	11	37	36	276
15	9	5.48e-06	5.26	3.58	18	27	21	17.6	25.9	20.4	281	18	27	21	226
14	8	2.18e-05	4.66	3.78	46	25	43	46.5	26	42.9	771	46	25	43	476
13	7	9.15e-05	4.04	4.79	24	46	42	23.3	46.1	42.4	262	24	46	42	192
12	7	9.15e-05	4.04	3.97	32	27	31	32.1	25.8	30.4	542	32	27	31	434
11	6	0.000413	3.38	3.94	33	21	40	33	20.4	40.3	591	33	21	40	452
10	5	0.00203	2.69	3.37	21	52	24	21.4	52	23.4	226	22	51	22	195
9	5	0.00203	2.69	3.61	13	27	38	13.2	26.6	39	280	13	27	38	229
8	5	0.00203	2.69	3.48	18	28	36	19	27.6	36.8	200	18	28	37	171
7	5	0.00203	2.69	3.83	14	29	42	14.4	29	41.8	235	14	29	41	205
6	5	0.00203	2.69	3.75	46	61	26	45.6	61	25.6	221	46	60	25	189
5	5	0.00203	2.69	3.85	51	30	21	50.8	29	21.4	246	51	28	23	222
4	4	0.0111	1.95	3.69	49	23	20	50	23.2	20	801	51	23	20	630
3	4	0.0111	1.95	3.49	22	24	45	21.5	23.8	44.5	562	20	24	44	497
2	4	0.0111	1.95	3.29	15	46	34	15.5	45.5	34.5	351	16	46	35	214
1	4	0.0111	1.95	4.25	11	39	26	10.3	38.8	27	401	10	39	28	336
