Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
168	781	0	181	6.79	47	22	14	34.3	25.4	13.9	16.2	31	29	13	4.23
167	42	3.89e-24	23.4	5.19	18	29	19	19.1	31.5	18.6	8.62	22	28	19	4.54
166	40	2.68e-23	22.6	4.8	51	35	19	49.8	31.1	19.4	11.3	53	34	18	4.86
165	38	1.9e-22	21.7	5.02	21	32	48	20.8	32.1	46.5	9.04	20	30	47	5.73
164	22	5.71e-15	14.2	5.85	15	25	23	13.6	25.1	22.8	19.2	15	21	19	4.04
163	22	5.71e-15	14.2	4.86	44	14	28	43.4	14.1	26.6	4.79	46	15	27	2.69
162	17	2.77e-12	11.6	4.79	50	25	25	50.4	24.8	24	4.7	50	25	25	2.91
161	16	1.02e-11	11	6.05	41	46	16	38.9	49.3	17.3	9.96	41	46	16	6.35
160	15	3.88e-11	10.4	4.69	51	23	32	51.4	24.1	32.1	4.96	52	22	34	3.35
159	15	3.88e-11	10.4	5.43	26	7	22	23.9	7.89	22.6	3.85	24	8	21	2.56
158	15	3.88e-11	10.4	4.83	15	26	33	16.9	27	33.3	4.3	18	25	34	2.6
157	15	3.88e-11	10.4	4.69	48	30	27	49.9	29.2	26.6	5.23	54	30	25	2.74
156	14	1.52e-10	9.82	5.72	43	40	15	43.3	39.2	14.6	8.62	42	39	15	5.07
155	14	1.52e-10	9.82	4.16	37	23	41	37.5	23.8	40.5	3.13	38	23	42	2.07
154	14	1.52e-10	9.82	4.83	20	40	15	19.3	40.9	14.4	4.95	22	41	15	2.73
153	12	2.57e-09	8.59	5.03	32	44	20	31.3	44.2	19.8	15.9	30	44	19	10.2
152	12	2.57e-09	8.59	4.14	37	65	20	39.3	66.4	19.4	14.2	40	68	19	7.65
151	12	2.57e-09	8.59	4.62	28	40	49	28.2	41	48.9	6.62	28	40	49	4.05
150	12	2.57e-09	8.59	4.71	16	30	14	17.2	29.5	14.3	10.2	17	28	16	5.77
149	12	2.57e-09	8.59	5.28	14	26	29	15.1	26.8	29.4	5.78	16	28	30	3.46
148	11	1.12e-08	7.95	4.76	31	21	45	31.1	19.5	42.3	9.52	31	20	43	6
147	11	1.12e-08	7.95	4.32	41	42	14	39.8	42.4	15.1	8.37	38	43	17	4.41
146	11	1.12e-08	7.95	5.5	42	23	24	41.7	23.8	24	4.43	40	21	24	3.31
145	11	1.12e-08	7.95	4.41	33	36	28	33	35.9	28.6	10.4	33	36	28	6.68
144	11	1.12e-08	7.95	4.86	45	23	40	44.7	22.6	39.9	5.36	45	23	41	3.74
143	9	2.38e-07	6.62	4.46	33	25	26	32.9	25.9	26.6	5.08	33	25	26	3.43
142	9	2.38e-07	6.62	4.03	46	52	14	43.9	51.5	14	11	43	52	14	7.64
