Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
25	10337	0	449	7.55	25	22	19	32.2	30.7	25.7	3.43e+03	21	21	7	159
24	51	1.49e-10	9.83	4.6	45	53	26	45.4	58.2	28.5	228	46	63	29	89.5
23	50	2.21e-10	9.66	4.61	36	54	42	37.2	55.1	40.9	172	36	57	44	91.8
22	49	3.29e-10	9.48	5.03	46	49	18	44.5	46.9	16.6	417	39	43	17	211
21	47	7.36e-10	9.13	3.86	32	57	42	30.7	56.9	40.4	174	27	58	41	88.9
20	45	1.67e-09	8.78	4.41	47	58	36	42.4	52.8	33.1	146	42	56	35	69.3
19	36	5.96e-08	7.22	4.85	52	56	23	51.1	57.9	23.8	272	51	59	23	119
18	30	1.19e-06	5.92	4.16	35	51	30	37.6	51.2	34	166	35	51	28	78.9
17	23	3.75e-05	4.43	3.7	31	51	18	32.2	47.7	18.3	517	32	45	18	283
16	22	6.3e-05	4.2	3.38	25	36	38	25.1	38.1	36.1	65.1	26	39	34	53.1
15	20	0.000182	3.74	4	52	52	28	50.7	53.2	26.7	150	52	52	28	90.8
14	20	0.000182	3.74	4.53	43	50	11	42.3	49.9	12.2	503	44	50	11	219
13	19	0.000314	3.5	4.64	55	44	16	54.4	45	16.8	145	53	45	17	84
12	18	0.000546	3.26	3.71	23	49	32	21	49.2	32.1	89.6	20	47	32	61.9
11	18	0.000546	3.26	5.36	35	34	7	32.5	35.1	7.42	2.95e+03	31	36	7	1.39e+03
10	17	0.000958	3.02	3.71	27	61	35	26.2	62.4	36.2	339	28	64	36	190
9	16	0.0017	2.77	4.12	37	57	34	37.7	58.9	36	150	39	60	39	77.3
8	15	0.00306	2.51	3.87	29	58	22	29.3	57.5	23.1	134	31	55	25	87.6
7	15	0.00306	2.51	3.5	29	53	29	31.9	52.6	26	161	33	52	24	115
6	14	0.00557	2.25	4.56	39	55	25	37.8	55.2	26.2	146	39	55	25	82.6
5	13	0.0103	1.99	4.2	42	46	13	42.2	45.7	11.6	206	42	47	11	128
4	11	0.0365	1.44	4.33	20	52	42	19.8	52.6	41.7	191	20	52	42	109
3	11	0.0365	1.44	4.21	16	37	18	15.9	37.7	18.3	132	16	39	19	87.3
2	11	0.0365	1.44	4.01	49	38	23	48.9	38	24.4	94.3	49	38	23	69.4
1	11	0.0365	1.44	4.42	32	48	21	32.8	48.1	21.5	367	32	48	21	167
