Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
16	14	1.17e-09	8.93	4.52	36	64	17	35.3	64.5	17.4	7.41	36	63	17	5.26
15	13	4.27e-09	8.37	3.94	14	57	21	14.1	56.5	21.8	8.46	14	56	23	6.02
14	9	1.07e-06	5.97	4.28	24	61	20	23.7	62.2	19.5	8.7	24	61	19	6.1
13	9	1.07e-06	5.97	4.53	27	64	18	27.7	63.9	17.5	5.69	28	63	17	4.72
12	8	5.01e-06	5.3	4.24	20	61	20	20.5	63.1	20	10	20	61	20	6.64
11	7	2.41e-05	4.62	4.01	27	54	18	26.4	52.2	18.6	8.36	26	53	18	6.53
10	6	0.000125	3.9	4.24	38	67	20	37	68	19.2	9.11	38	67	20	6.43
9	6	0.000125	3.9	4.15	40	56	18	40.3	56.2	18.3	10.5	41	55	17	5.82
8	4	0.00464	2.33	3.72	12	50	31	12	49.5	30.6	5.32	12	49	29	3.41
7	3	0.0349	1.46	3.38	35	50	29	36	49.3	29.7	5.1	36	49	30	3.99
6	3	0.0349	1.46	3.36	11	49	27	10.7	50	27.7	4.1	11	49	27	3.38
5	3	0.0349	1.46	3.83	12	50	24	12.3	50.6	24	4.86	12	51	24	4.35
4	3	0.0349	1.46	3.6	56	42	20	56	41.7	20.7	2.83	56	42	21	2.56
3	3	0.0349	1.46	3.28	19	45	18	19.3	44.7	19	4.4	19	45	18	3.7
2	3	0.0349	1.46	4.21	36	26	7	36.3	25	7	26.4	36	26	7	26.3
1	3	0.0349	1.46	4.45	41	23	7	40.1	22.1	7	25.5	41	23	7	22.6
