Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
13	12	1.61e-08	7.79	4.48	49	36	45	48.9	33.2	43.9	6.65	49	35	45	5.05
12	5	0.000719	3.14	3.99	41	29	29	41.6	29.2	28.6	5.16	41	29	29	3.99
11	5	0.000719	3.14	4.06	46	32	46	46.4	31.6	46	6.15	46	31	46	5.33
10	4	0.00464	2.33	3.64	49	41	43	49	39.8	43.5	5.58	48	39	44	3.73
9	4	0.00464	2.33	4.03	39	31	30	38.5	30.8	29.8	4.13	38	31	29	3.7
8	4	0.00464	2.33	3.73	23	22	26	22	22.8	25.8	2.11	23	22	26	1.5
7	3	0.0349	1.46	3.37	43	32	44	44	32	44	1.83	45	32	44	1.73
6	3	0.0349	1.46	3.36	37	34	35	37.3	34	35.3	2.05	37	34	36	1.65
5	3	0.0349	1.46	4.04	40	34	48	40	33	48	5.93	40	32	48	5.51
4	3	0.0349	1.46	3.68	55	35	24	55.7	34.7	24	5.05	56	35	24	4.71
3	3	0.0349	1.46	4.64	43	28	45	42.7	27.7	44.1	3.69	43	28	45	2.05
2	3	0.0349	1.46	3.92	47	48	25	47.3	47.4	24.7	4.56	47	47	24	3.7
1	3	0.0349	1.46	3.3	39	33	46	38	32.7	46.3	3.19	39	33	46	2.08
