Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
14	5	0.000162	3.79	3.59	27	57	43	26.2	56	43	22.8	27	57	43	16.3
13	5	0.000162	3.79	4.25	35	47	34	34.6	46.8	34	8.8	35	47	34	7.28
12	4	0.00132	2.88	3.75	40	47	46	40	46.8	46	18.5	39	48	46	15.6
11	4	0.00132	2.88	4.39	17	46	42	17.2	46.7	42.2	11.4	18	46	43	8.81
10	4	0.00132	2.88	3.69	40	48	17	39.5	46.5	16.3	31.7	40	48	17	20.7
9	4	0.00132	2.88	4.33	32	27	35	31.8	26.8	34.5	10.1	32	27	35	7.84
8	3	0.0128	1.89	3.63	31	60	19	31	60	19	13.4	31	60	19	11.1
7	3	0.0128	1.89	3.94	30	45	22	30.6	45	22.3	16.6	30	45	22	12.4
6	3	0.0128	1.89	3.55	37	49	29	36.3	49.3	29	8.77	37	49	29	8.17
5	3	0.0128	1.89	3.86	26	69	32	26.3	69	31	21.1	26	69	32	19.4
4	3	0.0128	1.89	3.15	30	52	15	29.3	51	15	35.3	29	50	15	29.2
3	3	0.0128	1.89	3.68	43	41	14	43.6	41	14	11.9	44	40	14	10.1
2	3	0.0128	1.89	3.73	26	47	48	25.7	47	48	13.6	26	47	48	11.1
1	3	0.0128	1.89	3.85	49	50	15	48.7	49	15	14.4	49	50	15	11.1
