Cluster Index	Z	x	y	z	
20	6.09	19	34	46
20	6.04	22	40	41
20	5.74	16	34	44
20	5.57	23	42	38
20	5.55	12	35	40
20	5.44	18	35	42
19	6.35	51	20	22
19	6.13	48	20	22
19	5.47	49	25	28
19	5.23	45	15	22
19	5.12	52	24	23
19	4.17	51	21	28
18	5.89	42	26	17
18	5.46	43	29	18
18	4.57	41	31	17
18	4.26	38	26	18
17	5.25	23	29	36
17	4.89	19	30	36
17	4.64	15	39	29
17	4.55	14	36	32
17	4.31	14	38	31
17	4.3	15	32	35
16	6.36	19	22	28
16	5.72	17	22	29
16	4.89	15	19	26
16	4.19	23	22	34
15	4.55	46	46	32
15	4.54	48	45	28
15	4.54	48	46	31
15	3.89	48	45	35
15	3.52	48	49	35
14	6.47	31	41	46
14	5.91	30	40	40
14	4.99	31	38	41
13	5.29	45	32	11
13	4.68	45	24	8
13	3.98	48	28	13
12	5	16	43	36
12	4.65	18	47	35
12	4.2	18	44	34
11	5.41	26	38	25
11	4.04	22	38	28
11	3.86	28	38	21
11	3.27	27	36	29
10	4.55	38	23	8
10	4.55	37	24	6
10	3.49	42	29	9
10	3.21	36	20	9
9	5.16	41	14	27
9	4.88	39	10	28
8	4.87	20	57	29
8	4.58	22	53	27
8	4.06	20	50	28
8	3.71	22	50	26
8	3.68	20	54	25
7	4.23	20	45	28
7	4.03	16	47	28
7	3.93	16	45	30
7	3.66	16	44	28
7	3.47	21	47	29
7	3.22	18	47	26
6	5.55	46	50	25
6	4.06	42	50	28
6	3.89	44	50	27
5	5.06	41	27	38
5	4	44	29	40
4	4.74	30	46	38
4	4.39	30	49	37
4	3.83	30	47	42
3	4.59	11	48	32
3	4.48	12	47	30
2	4.7	45	23	21
2	4.15	46	28	21
2	4.13	47	26	22
1	6.03	43	58	32
