Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
9	799	9.39e-31	30	7.77	51	20	23	44.7	22.3	20.2	189	49	19	22	46.6
8	370	4.83e-18	17.3	6.06	17	19	23	18.6	20.7	22.6	135	15	20	21	43.6
7	259	4.95e-14	13.3	5.44	20	34	44	19.2	35.6	43	73	16	34	44	34.5
6	57	0.000155	3.81	4.93	14	37	31	12.9	37.3	29.8	72.1	10	40	27	39.3
5	46	0.000823	3.08	4.88	29	37	23	26.1	38.9	25	43.6	28	38	23	33.3
4	39	0.00255	2.59	4.28	25	10	26	26.4	10.4	25.8	75.7	24	11	27	47
3	35	0.00502	2.3	4.81	31	40	46	31.4	39.5	42.7	61.5	32	38	41	38.4
2	30	0.0121	1.92	5.29	22	22	34	22.4	21.8	34.1	50.4	23	22	34	32.6
1	24	0.037	1.43	4.27	19	24	9	19	24.6	10.1	55.7	19	24	8	39.9
