Cluster Index	Z	x	y	z	
22	3.9	20	47	23
22	3.75	15	41	20
22	3.59	29	44	24
22	3.51	32	43	28
22	3.51	17	45	21
22	3.5	21	41	19
21	3.64	41	47	18
21	3.4	40	48	24
21	3.35	42	43	21
21	3.31	39	45	24
21	3.24	38	44	27
21	3.12	39	45	21
20	3.75	33	29	28
20	3.39	32	29	30
20	3.34	32	27	30
20	3.18	32	23	31
20	3.18	32	27	32
20	2.61	31	23	29
19	3.72	32	41	45
19	3.22	33	40	39
19	3.18	35	42	38
19	3.09	32	36	42
19	3.04	35	44	37
19	3.04	31	41	42
18	3.7	19	26	29
18	3.62	18	24	35
18	2.91	19	26	34
18	2.67	15	27	36
17	4.39	33	41	21
17	3.51	34	43	22
17	3.34	37	41	22
17	3.3	34	40	19
17	3.26	34	41	23
17	2.84	36	41	19
16	3.58	23	36	20
16	3.06	25	40	20
16	2.89	28	34	23
16	2.89	25	37	20
16	2.83	27	34	21
16	2.8	22	41	22
15	3.37	47	44	21
15	3.22	47	45	18
14	3.31	28	35	50
14	2.7	26	33	50
13	3.46	25	32	28
13	3.18	27	34	27
13	2.61	24	34	28
12	3.1	14	38	22
12	2.95	16	37	22
11	4.3	29	52	45
11	3.29	29	54	44
11	2.55	32	52	44
10	3.39	34	36	50
10	3.27	34	34	50
10	3.11	35	40	50
9	3.16	35	46	25
9	2.99	35	45	27
9	2.87	33	45	24
8	2.71	17	50	26
8	2.65	15	53	23
8	2.58	15	49	23
7	3.51	39	38	20
7	3.14	43	39	17
6	4.3	16	31	34
6	2.99	18	31	32
6	2.9	14	31	34
6	2.73	17	33	32
5	3.77	33	26	39
5	2.81	34	27	37
4	3.96	31	34	11
4	2.43	32	30	12
3	3.25	34	39	10
3	2.62	37	40	11
2	2.94	29	34	19
2	2.51	25	35	16
1	4.16	34	40	30
1	3.07	34	43	31
