Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
18	15	7.62e-12	11.1	5.29	29	45	27	29.5	45.3	26.6	6.8	30	45	26	3.96
17	13	1.41e-10	9.85	4.44	33	20	25	32.9	19.5	25.6	7.19	33	19	25	5.16
16	6	1.77e-05	4.75	4.01	28	51	26	28.6	50.5	26	2.82	28	51	26	2.52
15	6	1.77e-05	4.75	4.1	35	46	26	35.1	45	27.1	4.49	35	44	28	3.55
14	6	1.77e-05	4.75	4.14	46	21	36	45.6	20.2	36.3	5.79	46	21	38	3.73
13	4	0.00109	2.96	4.72	33	32	34	33.2	31.8	34.7	2.71	33	32	34	2.27
12	4	0.00109	2.96	3.94	34	28	30	33.3	27.8	30.5	6.91	33	27	31	5.26
11	4	0.00109	2.96	3.74	28	42	31	28.5	41.8	30.7	3.74	29	41	31	3.51
10	4	0.00109	2.96	4	18	54	36	18.9	54	35.5	3.91	18	54	36	3.03
9	4	0.00109	2.96	3.62	55	34	24	54.7	34	23.5	3.1	55	34	24	2.58
8	4	0.00109	2.96	3.37	45	44	23	45.5	44.5	22.3	2.75	46	45	22	2.45
7	3	0.0111	1.96	3.81	38	55	15	38	55.9	15	5.16	38	55	15	4.81
6	3	0.0111	1.96	4.2	26	49	23	26.3	48.7	22.6	2.92	26	49	23	2.42
5	3	0.0111	1.96	3.2	24	12	23	24	12	23	6.54	24	12	23	4.55
4	3	0.0111	1.96	3.74	33	59	35	32.7	59	34.4	2.57	33	59	34	2.49
3	3	0.0111	1.96	3.37	41	41	33	41.3	40	32.7	1.57	41	41	33	1.45
2	3	0.0111	1.96	3.52	49	28	31	48.3	28.3	31.7	2.61	48	28	32	2.39
1	3	0.0111	1.96	3.91	9	38	34	9	37.1	34.6	2.46	9	38	34	2.03
