Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
96	252	0	72.3	10.5	41	14	27	44.9	18.1	24.6	241	37	11	30	84.4
95	202	0	62	8.27	15	19	26	20.2	17.2	24.4	275	15	20	21	85
94	75	1.89e-31	30.7	6.94	21	39	47	18.5	35.3	43.7	162	22	40	47	78.1
93	63	8.75e-28	27.1	6.97	42	26	18	43	26.5	18.1	291	49	25	18	113
92	31	1.4e-16	15.9	6.79	31	41	46	31.4	39.5	44.2	137	33	40	48	69.9
91	24	1.13e-13	12.9	6.09	46	30	42	43.2	27.9	38.3	135	43	25	40	76
90	21	2.42e-12	11.6	5.69	48	63	26	47.9	63.3	27.6	145	49	62	24	82.3
89	20	6.95e-12	11.2	5.39	23	40	40	22.5	41	41.2	85.3	23	41	43	62.2
88	19	2.03e-11	10.7	5.28	37	23	9	39.6	21.2	9.16	124	37	23	9	67.7
87	18	6.04e-11	10.2	5.04	49	45	36	48.4	46.9	34.3	114	50	49	36	77
86	16	5.69e-10	9.24	5.6	16	63	20	14.8	59.9	20.4	152	16	63	20	93
85	16	5.69e-10	9.24	5.43	24	22	35	22.6	21.6	34	98.1	22	21	34	67.5
84	16	5.69e-10	9.24	5.18	27	50	16	26.7	49.1	15.7	481	28	51	15	258
83	16	5.69e-10	9.24	6.4	53	39	32	52.6	38.3	30.6	176	52	38	29	95.5
82	15	1.81e-09	8.74	5.31	22	24	19	21.9	25.3	19.2	210	21	23	18	93.5
81	14	5.9e-09	8.23	6.11	10	41	27	10.2	41.4	26.4	218	10	40	27	121
80	13	1.98e-08	7.7	5.83	41	22	38	41.4	22.9	36.8	139	41	22	39	73.9
79	13	1.98e-08	7.7	5.42	55	46	18	55.3	43.9	17.7	111	55	46	18	64.6
78	12	5.96e-08	7.22	4.53	10	37	32	11.5	37.2	33.7	173	10	37	32	82.2
77	12	5.96e-08	7.22	6.26	13	36	39	12.3	35.6	38.7	114	11	37	38	77.4
76	12	5.96e-08	7.22	5.75	15	43	36	16.5	43.8	35.2	102	16	43	36	72.4
75	11	2.38e-07	6.62	5.11	28	12	20	28.8	13	21.7	163	30	14	21	96.3
74	11	2.38e-07	6.62	5.7	21	38	39	20.4	37	38.8	138	20	37	39	87.1
73	11	2.38e-07	6.62	6.03	14	37	31	13.8	37.8	30.3	135	15	37	29	96.9
72	11	2.38e-07	6.62	6.87	11	45	38	10.5	43	38.1	146	11	45	38	72.1
71	11	2.38e-07	6.62	7	35	22	22	34.3	23	21.7	168	35	22	22	95.7
70	10	8.94e-07	6.05	5.02	53	47	13	53.1	47.5	15.6	92.5	53	47	14	65.7
69	9	3.58e-06	5.45	5.09	35	48	40	34.4	47.9	40	82.8	34	47	40	65.8
68	9	3.58e-06	5.45	6.35	33	42	42	34.4	41	42.1	115	33	42	42	61.5
67	9	3.58e-06	5.45	6.39	39	17	21	38.7	15.4	21.4	116	40	15	20	73.2
66	8	1.47e-05	4.83	6.6	44	57	33	43.5	57.3	32.3	126	44	57	33	75.2
