Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
31	310	0	50.7	6.48	49	30	36	43.6	24	35.6	931	38	20	41	305
30	185	1.13e-35	34.9	6.75	20	12	26	22	16.9	22.3	1.42e+03	24	21	19	399
29	169	1.99e-33	32.7	6.44	22	29	37	21.9	23.6	36	622	22	29	37	285
28	127	3.66e-27	26.4	6.11	45	47	33	47.2	48.5	33.5	638	45	47	33	295
27	116	2.06e-25	24.7	4.98	20	36	39	19.9	39.2	41.5	728	18	41	43	252
26	60	2.04e-15	14.7	5.07	14	47	37	15.3	46.4	32.7	677	15	46	36	289
25	57	8.29e-15	14.1	4.55	48	59	32	46.6	56.1	31.2	658	48	59	32	302
24	35	5.98e-10	9.22	5.57	13	35	38	13.4	35.7	36.8	565	13	35	38	292
23	32	3.23e-09	8.49	5.34	49	18	22	47.8	17.3	23	642	48	17	22	297
22	30	1.03e-08	7.99	4.69	19	32	43	18.1	31.3	43.6	723	17	31	44	417
21	30	1.03e-08	7.99	6.21	47	46	42	46.4	44.3	40.2	1.24e+03	47	47	42	357
20	30	1.03e-08	7.99	5.45	34	50	40	34	50.6	39.8	727	34	50	40	300
19	25	1.79e-07	6.75	5.74	47	27	20	46.9	26.4	19.8	536	46	21	19	299
18	22	1.37e-06	5.86	3.79	31	45	41	31.2	44.8	41.7	320	33	46	44	242
17	19	1.01e-05	4.99	4.54	13	38	31	13.8	37.4	30.3	458	12	38	30	309
16	18	2.01e-05	4.7	3.89	38	20	37	37.8	18.8	37	898	38	17	38	490
15	17	4.05e-05	4.39	4.72	52	40	33	51.8	39.2	33.6	387	52	40	33	256
14	13	0.000771	3.11	3.61	33	37	33	34	36.7	33	515	33	37	33	302
13	12	0.00168	2.77	4.1	27	16	22	26	17.3	22.3	320	26	17	23	240
12	11	0.00376	2.43	3.36	8	32	22	8.97	31.9	22.3	1.07e+03	10	31	22	595
11	11	0.00376	2.43	3.35	37	26	21	36.7	26.1	22.4	448	37	27	25	316
10	10	0.00858	2.07	4.02	23	23	15	22.8	22.6	14.5	425	21	22	14	293
9	10	0.00858	2.07	4.78	29	49	39	29.2	49.5	38.7	400	30	51	39	245
8	10	0.00858	2.07	3.96	26	37	26	26.7	37.4	25.9	295	26	37	26	211
7	9	0.0201	1.7	3.4	24	30	19	22.9	30	18.5	351	23	30	18	281
6	9	0.0201	1.7	3.74	29	19	37	29	19.1	37.1	462	29	18	37	339
5	9	0.0201	1.7	4.77	39	11	24	39	11.3	22.5	449	39	11	24	303
4	9	0.0201	1.7	3.33	34	52	44	34.1	50.9	44.1	465	35	53	45	243
3	8	0.0482	1.32	3.46	31	70	26	31	70.5	25.5	902	32	70	26	554
2	8	0.0482	1.32	3.44	12	46	32	11.5	45.2	32.7	299	12	45	32	244
1	8	0.0482	1.32	3.36	22	51	27	21.4	51.1	26.2	266	20	52	24	221
