Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
50	55	6.77e-15	14.2	4.1	27	60	39	22.6	59.2	36.5	1.11e+03	28	64	38	422
49	41	9.19e-12	11	4.05	22	54	19	19.9	54.4	18.8	1.21e+03	23	56	17	498
48	28	1.64e-08	7.79	3.8	10	33	32	10.1	33	30.9	801	10	31	31	388
47	26	5.96e-08	7.22	4.46	40	68	31	43.4	67.6	30.4	1.37e+03	40	68	31	541
46	26	5.96e-08	7.22	4.35	22	51	11	19	48.9	11.1	566	20	51	12	340
45	24	1.79e-07	6.75	3.66	43	13	26	42.7	14.2	30	666	40	14	34	273
44	22	7.75e-07	6.11	3.52	22	70	28	24.3	69.9	26.9	1.55e+03	27	70	26	792
43	20	2.98e-06	5.53	3.7	39	69	24	40.4	68.5	22.5	1.66e+03	42	68	19	587
42	20	2.98e-06	5.53	3.61	18	61	24	18.1	59.4	24.6	426	17	61	23	249
41	19	5.9e-06	5.23	3.9	10	38	29	11.6	39	29.2	728	10	39	27	406
40	18	1.2e-05	4.92	3.81	20	41	46	18.7	40.3	45.3	605	21	41	46	298
39	17	2.47e-05	4.61	3.11	51	43	14	50.6	42.9	13.4	596	51	43	14	291
38	17	2.47e-05	4.61	3.73	49	31	36	48.1	30.8	37.4	391	49	31	36	225
37	15	0.000109	3.96	3.5	15	50	16	16.7	50.8	15.1	689	15	52	15	413
36	14	0.000235	3.63	4.02	17	47	30	15	46.3	29.5	332	17	47	30	204
35	14	0.000235	3.63	3.82	32	52	31	34.3	52.1	31.4	682	32	52	31	267
34	13	0.000515	3.29	3.77	43	61	32	44	59.9	33.5	474	45	60	34	336
33	13	0.000515	3.29	3.29	50	35	29	49.8	35.6	29.2	558	50	36	30	351
32	13	0.000515	3.29	3.26	35	35	11	34.8	34.6	11.4	969	35	36	10	409
31	13	0.000515	3.29	3.73	27	34	50	28.7	35.2	50.6	789	31	35	51	588
30	13	0.000515	3.29	3.62	14	47	15	14	46.7	14	443	12	49	14	266
29	13	0.000515	3.29	4.5	30	35	35	29.8	35.4	37.4	286	29	37	37	224
28	12	0.00115	2.94	3.79	27	50	19	26.1	50.3	18.5	594	26	50	17	428
27	12	0.00115	2.94	4.39	39	61	38	39.3	61.9	37	833	36	63	39	566
26	12	0.00115	2.94	2.96	49	31	30	50.1	30.1	31	409	49	31	30	262
25	12	0.00115	2.94	3.2	39	23	38	38.7	20.4	39.7	794	40	18	40	470
24	12	0.00115	2.94	4.72	38	59	41	36.5	59.2	41.6	1.01e+03	34	59	42	559
23	12	0.00115	2.94	3.49	44	39	42	43.3	39.1	42.8	267	43	38	45	183
22	12	0.00115	2.94	3.16	43	30	42	44	29.7	41.7	918	46	28	44	307
21	11	0.00263	2.58	3.6	48	41	31	50.1	41.2	31.9	285	50	41	33	192
20	11	0.00263	2.58	3.56	36	48	22	37.2	46.9	21.6	414	36	48	22	287
19	11	0.00263	2.58	3.9	40	49	14	40.3	48.7	14.7	670	40	49	14	454
18	11	0.00263	2.58	3.88	22	46	12	22.8	46.6	10.7	1.02e+03	22	45	10	620
17	11	0.00263	2.58	3.98	16	44	35	15.2	44.9	34.8	399	16	44	35	240
16	11	0.00263	2.58	3.93	18	38	23	18.5	38.4	24	552	18	40	25	313
15	10	0.00618	2.21	3.56	42	29	18	41.2	30.9	18.1	654	41	33	17	465
14	10	0.00618	2.21	3.65	51	46	13	50.4	47	13	389	51	46	13	267
13	10	0.00618	2.21	3.24	34	71	27	34	70.7	26.6	1.38e+03	37	71	27	790
12	10	0.00618	2.21	3.6	40	49	11	41.3	50.1	11.9	881	40	49	11	595
11	10	0.00618	2.21	2.84	46	27	11	45.2	28.6	10.9	664	45	28	11	490
10	10	0.00618	2.21	2.99	35	13	34	34.1	13.1	35.5	820	35	13	34	523
9	9	0.0149	1.83	3.45	20	47	19	20.3	46.8	18.5	882	20	47	19	434
8	9	0.0149	1.83	4.6	22	62	35	22.1	64.6	35.1	1.02e+03	22	62	35	520
7	9	0.0149	1.83	3.42	50	49	37	48.8	48.7	38.8	519	47	48	41	356
6	9	0.0149	1.83	3.3	36	28	42	35.7	27.9	41.9	330	35	28	43	252
5	9	0.0149	1.83	2.9	52	28	18	51.8	28.9	17	962	51	29	16	541
4	8	0.0368	1.43	3.28	30	57	31	28.5	55.5	30.7	341	30	57	31	210
3	8	0.0368	1.43	4.16	37	66	35	36.8	65.8	35.9	1.06e+03	37	66	35	754
2	8	0.0368	1.43	2.93	20	43	17	19.1	41.4	19.2	245	18	42	19	206
1	8	0.0368	1.43	2.96	48	22	23	49.7	22.2	21.9	605	48	22	23	310
