Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
40	110	3.04e-25	24.5	4.03	32	30	35	32.4	27.9	33.9	2.15e+03	32	27	32	812
39	78	1.62e-19	18.8	4.41	47	23	35	49	25.2	35.3	2.57e+03	45	20	39	893
38	38	4.77e-11	10.3	3.9	32	26	41	30.8	26.1	38.9	1.46e+03	32	26	41	721
37	29	8.89e-09	8.05	3.3	42	68	25	42.9	67.5	24.6	2.91e+03	44	67	26	1.49e+03
36	22	7.75e-07	6.11	3.98	27	33	27	30.8	32.9	25.8	3.04e+03	34	33	26	1.8e+03
35	22	7.75e-07	6.11	4.56	21	48	22	22	49.2	20.1	1.69e+03	24	49	18	801
34	21	1.49e-06	5.83	3.64	19	51	40	18.8	53.3	38.2	1.29e+03	18	54	37	718
33	16	5.15e-05	4.29	3.88	17	57	22	16.6	54	23.4	1.25e+03	16	52	22	741
32	16	5.15e-05	4.29	3.24	13	30	37	12.8	28.7	38.6	1.05e+03	12	28	40	636
31	15	0.000109	3.96	3.57	42	13	25	40.7	12.2	24.9	1.07e+03	40	12	23	659
30	14	0.000235	3.63	3.41	50	27	19	50	27.1	17.4	2.42e+03	49	26	17	1.37e+03
29	14	0.000235	3.63	3.65	40	54	41	39.8	54.7	40.7	1.14e+03	40	55	42	736
28	13	0.000515	3.29	3.48	56	34	24	54.5	34.7	23.5	1.52e+03	56	34	24	916
27	13	0.000515	3.29	3.67	40	31	33	42.1	31	32.8	750	40	31	33	505
26	12	0.00115	2.94	3.9	11	35	24	10.6	34.7	23.3	2.28e+03	10	37	25	975
25	12	0.00115	2.94	3.03	29	68	28	26.6	69.4	27.6	3.16e+03	27	70	27	1.86e+03
24	11	0.00263	2.58	3.64	19	22	35	18.5	22.3	34.3	1.29e+03	19	22	35	633
23	11	0.00263	2.58	3.12	49	31	23	48.9	32.5	23.7	919	49	32	24	696
22	11	0.00263	2.58	3.08	22	54	17	18.9	53.7	17.9	1.55e+03	22	55	17	1.07e+03
21	11	0.00263	2.58	3.76	50	30	40	50.9	31.5	39.4	943	53	33	39	657
20	11	0.00263	2.58	4	12	36	21	13.2	35.9	20.3	1.04e+03	13	33	21	612
19	11	0.00263	2.58	3.29	28	40	30	27.1	37.1	29.9	1.5e+03	29	40	30	825
18	11	0.00263	2.58	3.03	38	34	22	37.1	34.1	20.5	1.14e+03	38	34	22	862
17	10	0.00618	2.21	3.46	44	21	36	42.8	22.4	37.2	799	44	21	36	627
16	10	0.00618	2.21	3.15	15	23	39	16.5	24.8	37.7	1.28e+03	15	22	39	754
15	10	0.00618	2.21	2.87	32	41	50	30.3	41.5	50.4	1.92e+03	32	42	50	1.18e+03
14	10	0.00618	2.21	3.44	32	43	25	32.4	42.9	26	1.14e+03	33	42	27	816
13	10	0.00618	2.21	3.43	10	32	31	10.1	30.1	31	2.61e+03	10	30	32	1.69e+03
12	9	0.0149	1.83	3.47	15	47	14	13.7	46.6	14.5	859	14	47	15	637
11	9	0.0149	1.83	3.03	21	48	40	22.7	48.8	38.8	510	23	48	38	434
10	9	0.0149	1.83	3.77	28	24	18	28.3	24.1	18.6	1.05e+03	28	24	18	725
9	9	0.0149	1.83	3.33	36	71	27	36.5	70.8	27.2	4.39e+03	37	71	27	2.29e+03
8	9	0.0149	1.83	3.6	46	54	18	45.3	53.7	18	1.42e+03	46	54	18	951
7	8	0.0368	1.43	3.3	27	51	44	27.2	50.7	43.3	702	27	51	44	475
6	8	0.0368	1.43	3.23	54	35	21	53.9	33.8	21.1	1.12e+03	54	34	21	762
5	8	0.0368	1.43	3.42	51	40	23	49.8	38.1	23.2	1.14e+03	51	40	23	713
4	8	0.0368	1.43	3.22	34	61	38	34.9	60.4	37.7	1.18e+03	34	61	38	788
3	8	0.0368	1.43	3.59	37	39	31	37.6	38.7	30.4	1.29e+03	38	38	31	707
2	8	0.0368	1.43	3.43	24	50	33	24.7	50.7	32.1	485	25	50	31	380
1	8	0.0368	1.43	3.42	33	27	17	32.1	27.1	18.8	1.11e+03	33	27	17	708
