Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
37	23	1.67e-13	12.8	4.54	20	30	42	19.8	29.9	42.6	3.51	19	30	44	2.18
36	22	4.72e-13	12.3	4.45	34	66	33	39.1	65.1	32.6	7.79	37	66	33	3.97
35	17	1.11e-10	9.95	3.98	23	34	44	21.4	34.3	43.2	3.43	20	34	43	2.06
34	11	1.79e-07	6.75	4.08	30	67	28	32.2	67.2	27.8	5.5	31	67	28	3.59
33	11	1.79e-07	6.75	4.03	26	25	42	27.2	26.1	42	1.87	27	24	43	1.55
32	9	2.62e-06	5.58	4.49	34	56	31	34.8	56.8	31.4	3.44	35	58	32	2.48
31	8	1.1e-05	4.96	4.13	30	65	25	30.5	64.4	24.5	7.12	31	63	24	3.93
30	8	1.1e-05	4.96	4.19	30	60	42	28	60.6	41.2	4.23	26	60	40	3.38
29	7	4.92e-05	4.31	5.27	25	44	43	23.7	44	43.9	2.63	23	44	45	2
28	7	4.92e-05	4.31	4.62	47	60	32	46	60.8	32.9	4.6	47	60	32	2.83
27	6	0.000237	3.62	3.93	40	52	18	38.9	53.3	17.8	5.67	38	54	17	4.65
26	6	0.000237	3.62	4.19	44	25	42	43	24.5	40.7	2.06	44	25	41	1.47
25	6	0.000237	3.62	4.46	16	31	40	15.2	31.7	40.3	3.07	14	33	41	2.13
24	6	0.000237	3.62	3.99	35	68	31	34.2	68	30.8	7.19	35	68	31	4.1
23	6	0.000237	3.62	4.46	36	68	35	34.7	67.1	35.8	4.4	36	68	35	2.88
22	6	0.000237	3.62	4.26	30	66	36	30.5	64.9	36.2	7.83	30	65	36	5.12
21	6	0.000237	3.62	3.83	42	29	43	41.8	29.5	42.3	1.74	41	30	41	1.39
20	6	0.000237	3.62	3.63	41	44	19	41.2	44.3	19.5	10.2	40	44	19	5.6
19	6	0.000237	3.62	3.88	35	62	24	33.7	63	24.3	6.11	34	63	25	4.52
18	5	0.00125	2.9	3.86	30	69	31	29.4	68	31	6.49	29	68	30	4.68
17	5	0.00125	2.9	3.64	30	59	15	30.2	58	15	5.51	30	58	15	4.15
16	5	0.00125	2.9	4.13	34	50	44	35.2	50.4	44.6	2.67	35	50	46	2
15	5	0.00125	2.9	3.9	44	58	34	45	58.4	34.8	4.96	45	59	36	3.09
14	5	0.00125	2.9	3.94	49	50	39	48.8	51.2	38.6	9.79	49	51	39	5.82
13	5	0.00125	2.9	3.4	27	53	23	26.4	53	22.4	3.37	27	53	22	2.33
12	4	0.00741	2.13	3.74	23	60	19	21.6	59.5	19	6.23	20	59	19	4.43
11	4	0.00741	2.13	4.13	42	61	38	40.6	60.3	38.7	4.1	39	59	40	2.82
10	4	0.00741	2.13	3.77	35	63	18	35.5	63.3	16.8	3.54	35	63	18	3.02
9	4	0.00741	2.13	4.49	31	34	42	30.5	34	42.4	2.15	31	34	42	1.75
8	4	0.00741	2.13	3.79	47	51	29	47.8	52.2	28.8	2.25	47	52	28	1.77
7	4	0.00741	2.13	3.63	24	51	34	24	51.7	34	1.44	24	53	34	1.3
6	4	0.00741	2.13	3.76	33	20	44	33	20.7	43	4.02	33	20	44	3.56
5	4	0.00741	2.13	3.69	51	60	24	51	59	22.8	3.08	51	59	23	2.42
4	4	0.00741	2.13	3.53	50	51	31	50	50	30.3	1.52	50	51	31	1.4
3	4	0.00741	2.13	4.29	40	29	48	39.5	28.5	48.5	3.87	38	29	49	3.37
2	4	0.00741	2.13	4.63	37	58	16	36.5	57.5	16.3	5.42	38	57	16	4.2
1	4	0.00741	2.13	4.23	40	43	41	40.2	42.8	41.7	1.58	41	43	42	1.4
