Cluster Index	Z	x	y	z	
58	5.32	30	67	20
58	5.01	23	65	24
58	4.99	27	67	21
58	4.94	29	66	23
58	4.91	39	69	23
58	4.89	25	67	25
57	4.98	32	45	22
57	4.48	30	46	21
57	4.44	40	45	20
57	4.42	35	46	21
57	3.97	29	50	20
57	3.44	38	46	22
56	4.13	27	30	21
56	3.9	31	30	23
56	3.83	27	35	21
56	3.72	28	33	22
56	3.51	29	30	20
56	3.4	26	35	19
55	5.11	46	54	18
55	4.88	38	57	17
55	4.81	41	53	18
55	4.66	39	55	15
55	4.4	39	55	17
55	4.2	40	51	17
54	4.7	32	18	24
54	3.75	31	17	22
54	3.51	32	15	21
54	3.46	32	14	19
53	3.8	32	39	21
53	3.79	32	41	20
53	3.63	28	42	20
52	4.25	16	45	20
52	3.82	18	42	21
52	3.73	16	42	23
51	4.39	33	53	22
51	4.07	31	52	23
50	4.81	47	45	9
50	3.74	45	46	10
50	3.29	49	43	12
49	4.51	45	51	11
49	4.42	47	49	11
49	4.22	45	53	11
48	3.7	49	47	18
48	3.54	47	45	20
47	3.95	37	33	22
47	3.61	35	33	21
46	3.82	20	39	23
46	3.77	18	38	20
46	3.55	19	41	23
45	4.13	50	22	13
45	4.01	49	23	10
45	3.19	49	27	10
44	4.68	34	43	32
44	3.75	34	46	31
44	3.41	36	43	34
43	4.37	32	49	29
43	3.6	36	49	30
42	3.96	17	53	25
41	4.62	31	45	31
41	4.38	30	42	32
40	3.79	14	32	18
39	4.44	50	31	43
39	4.09	48	30	44
39	4.07	49	33	45
38	4.23	42	50	12
38	4.18	42	49	10
38	3.63	43	49	14
37	4.38	41	62	21
37	4.21	41	60	21
36	3.89	32	29	21
35	4.09	37	41	19
35	3.65	35	42	20
34	3.65	41	30	21
33	3.99	14	23	23
33	3.22	11	26	24
32	4.17	55	39	17
32	3.53	55	41	18
31	3.85	33	29	24
30	3.89	14	24	17
29	4.07	34	69	27
29	3.96	33	67	29
28	3.83	49	45	37
28	3.77	47	46	37
27	4.48	56	33	22
26	3.56	35	56	24
25	3.61	46	50	18
25	3.31	48	51	19
24	3.71	14	39	14
23	4.47	46	35	18
22	4.55	33	54	14
21	3.47	17	53	12
20	3.84	51	49	37
20	3.59	51	47	39
19	3.56	23	27	21
18	3.63	17	35	22
17	4	47	39	38
16	3.86	30	49	49
15	4.17	16	20	18
14	3.69	19	16	17
13	3.61	44	58	16
13	3.45	43	56	16
12	5.17	46	34	47
11	3.8	12	38	22
10	4.14	14	46	30
10	3.19	12	46	29
9	3.79	38	42	33
9	3.76	36	39	33
8	3.7	24	36	21
8	3.57	23	34	22
7	3.63	10	31	25
6	3.41	14	18	24
5	4.24	42	47	46
5	3.95	41	49	46
4	4.41	41	43	48
3	3.35	47	41	21
3	3.32	48	43	22
2	4.01	9	45	28
2	3.29	10	44	25
1	3.86	21	58	22
