Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
61	199	0	71.3	4.84	19	18	13	30.7	19.3	12.7	49.9	27	19	13	15.2
60	33	2.58e-20	19.6	4.38	37	22	27	37.5	24	27.4	12.4	38	25	25	5.33
59	22	5.09e-15	14.3	4.68	27	23	25	26.9	26.3	23.9	12.7	28	29	23	6.58
58	18	6.97e-13	12.2	4.45	42	29	29	40.7	29.6	28	14.9	42	29	26	6.41
57	18	6.97e-13	12.2	4.36	47	19	27	48	19.7	26.8	7.68	47	19	27	4.81
56	17	2.52e-12	11.6	4.29	38	24	47	37.4	23.6	46	12.1	38	24	47	8.28
55	15	3.56e-11	10.4	4.39	30	25	47	32.1	26.3	46.5	14.1	30	25	47	8.18
54	14	1.4e-10	9.85	4.64	42	23	44	42.8	23.6	43.8	9.99	40	21	45	7.4
53	12	2.39e-09	8.62	4.08	32	28	30	32	26.5	31.1	11.3	32	28	31	7.5
52	12	2.39e-09	8.62	4.48	19	29	46	20.4	27.9	45.6	10.9	19	30	46	7.53
51	11	1.05e-08	7.98	3.77	43	25	11	44.3	26.5	11	12.3	46	26	11	7.93
50	11	1.05e-08	7.98	4.89	53	25	25	52.4	24.8	24.7	11.3	53	24	25	5.51
49	10	5.96e-08	7.22	3.67	22	24	12	22.2	25	12	11.9	21	24	12	8.16
48	9	2.38e-07	6.62	4.45	20	26	18	18.2	24.2	17.9	19.4	16	22	18	10.8
47	9	2.38e-07	6.62	3.99	24	19	24	24.4	19.8	26	6.84	24	19	24	4.85
46	8	1.19e-06	5.92	4.05	49	23	11	47.9	24.5	11	46.6	46	24	11	18.4
45	8	1.19e-06	5.92	4.72	52	22	29	52.1	21.8	28.6	8.82	51	21	29	4.06
44	7	6.56e-06	5.18	4.59	10	29	30	9.57	30	30	9.75	10	29	30	6.07
43	7	6.56e-06	5.18	4.78	12	28	24	11.3	27.7	24	5.97	10	29	25	4.34
42	7	6.56e-06	5.18	5.23	29	21	28	27.6	21.6	28.8	7.56	29	21	28	4.64
41	7	6.56e-06	5.18	4.56	15	26	17	16.5	26.8	16.9	23.5	15	26	17	14.3
40	7	6.56e-06	5.18	4.72	16	25	23	15.6	25	23.6	7.99	16	24	23	4.81
39	6	3.92e-05	4.41	3.58	50	31	28	49.8	29.9	28.5	4.3	49	29	29	3.54
38	6	3.92e-05	4.41	4.91	28	25	29	27.8	24.7	28.4	7.64	28	25	29	4.78
37	6	3.92e-05	4.41	3.83	15	28	27	15.7	28.8	26.3	6.18	15	28	27	3.47
36	6	3.92e-05	4.41	4.08	47	22	26	47	23.7	26.1	6.12	47	24	26	4.51
35	5	0.00026	3.59	4.05	35	25	27	34.6	25.7	26.8	9.09	34	25	27	7.4
34	5	0.00026	3.59	3.67	22	24	19	22.6	23	19	13.1	22	24	19	10.5
33	5	0.00026	3.59	4.57	36	29	25	36	29	24.8	15.9	36	29	25	8.73
32	5	0.00026	3.59	4.79	23	23	46	23.7	22.6	45.5	9.44	23	23	45	7.72
31	5	0.00026	3.59	4.29	45	27	46	44.6	28.1	45.2	11.2	46	30	45	8.06
30	4	0.00196	2.71	4.22	29	22	23	29.3	21.7	22.8	9.34	29	22	23	6.86
29	4	0.00196	2.71	3.95	52	28	28	52.2	28.2	28	4.9	52	28	28	3.87
28	4	0.00196	2.71	3.74	53	34	20	54	34	20.2	4.53	53	34	20	3.95
27	4	0.00196	2.71	3.68	17	20	28	17	19.8	28.3	4.55	17	20	28	3.68
26	4	0.00196	2.71	4.35	49	27	34	48.5	26.5	34	3.7	49	26	34	3.27
25	4	0.00196	2.71	4.2	44	26	18	44	26.5	18	13	44	26	18	10.8
24	4	0.00196	2.71	4.89	32	32	24	30.9	31.6	25.1	14.6	32	32	24	10.5
23	4	0.00196	2.71	4	39	21	38	39	20	38.5	4.41	39	19	39	3.82
22	4	0.00196	2.71	3.7	44	21	38	45	20.3	38.2	7.51	45	19	38	5.72
21	4	0.00196	2.71	3.96	33	25	35	32.3	23.8	35.2	3.53	32	23	35	3.1
20	4	0.00196	2.71	4.23	23	27	47	23.2	28.4	47.2	7.82	23	29	47	7.31
19	4	0.00196	2.71	3.7	45	26	30	45.5	26	30.3	3.88	45	26	30	3.05
18	4	0.00196	2.71	4	33	11	27	33	10.8	27	11	33	11	27	6.81
17	3	0.0176	1.76	3.41	31	31	11	31.3	30.7	11	7.82	31	30	11	6.45
16	3	0.0176	1.76	3.7	29	23	40	29.9	22.4	40	3.25	31	22	40	2.83
15	3	0.0176	1.76	3.27	24	24	14	24.3	24	14	3.63	24	24	14	3.24
14	3	0.0176	1.76	3.74	24	24	40	23.4	24.3	39.4	3.45	23	24	39	3.3
13	3	0.0176	1.76	3.97	57	33	30	57	32.7	29.4	3.37	57	33	30	2.65
12	3	0.0176	1.76	4.61	27	24	21	27.9	23.4	20.7	7.38	27	24	21	5.36
11	3	0.0176	1.76	5.45	51	33	44	51.4	33.6	43.4	6.61	51	34	43	4.98
10	3	0.0176	1.76	3.91	27	22	39	26.7	22.6	39	4.32	27	22	39	3.5
9	3	0.0176	1.76	3.77	13	22	26	13.3	22.6	26	4.17	14	23	26	3.39
8	3	0.0176	1.76	4.19	29	13	12	29.3	13.3	12	28.1	29	14	12	16.2
7	3	0.0176	1.76	4.17	11	23	31	11	23.3	30.4	6.46	12	23	30	5.26
6	3	0.0176	1.76	3.81	57	41	30	56.7	40.3	30.7	3.47	57	41	30	3.34
5	3	0.0176	1.76	4.39	31	20	29	31	20	29	5.67	31	20	29	4.51
4	3	0.0176	1.76	3.39	11	57	26	11	56.3	26.3	4.25	11	56	27	3.93
3	3	0.0176	1.76	4.38	23	28	12	23.9	28	12	5.55	23	28	12	4.97
2	3	0.0176	1.76	4.12	12	25	28	12.3	25.9	27.7	4.65	12	25	28	4.01
1	3	0.0176	1.76	3.58	49	27	38	48.3	26	37	3.23	48	26	37	2.88
