Cluster Index	Z	x	y	z	
20	3.92	18	18	13
20	3.74	22	15	12
20	3.68	22	21	13
20	3.63	25	16	13
20	3.54	17	21	13
19	3.95	31	16	13
19	3.9	28	16	13
19	3.84	34	16	13
18	4	46	17	27
18	3.7	47	19	27
17	4.08	42	18	13
17	3.71	39	17	13
16	3.95	39	26	31
15	4.44	45	13	33
15	4.23	43	13	35
14	3.65	38	19	42
13	3.45	46	18	35
12	3.35	36	21	45
12	3.33	38	21	45
11	3.51	16	20	28
10	3.79	42	15	12
9	3.59	29	21	28
8	3.65	12	30	22
7	3.58	50	21	26
6	3.72	28	25	29
6	3.16	27	25	27
5	3.51	31	14	33
4	3.71	27	16	37
3	3.51	45	15	36
3	3.42	47	16	36
2	3.19	31	17	28
1	3.13	23	19	37
1	3.11	23	17	35
