Cluster Index	Z	x	y	z	
86	4.9	47	14	23
86	4.83	23	12	25
86	4.54	44	25	22
86	4.5	16	52	12
86	4.45	9	30	21
86	4.43	21	13	21
85	5.35	34	55	14
85	4.81	47	56	18
85	4.8	33	62	15
85	4.62	33	63	17
85	4.57	49	61	25
85	4.52	40	56	39
84	4.41	45	42	42
84	4.28	37	47	31
84	4.24	47	45	39
84	4.22	38	43	35
84	4.13	41	27	39
84	4.05	44	36	38
83	4.99	30	12	13
83	4.36	27	11	14
83	4.3	43	13	12
83	4.12	24	18	13
83	4.11	40	22	12
83	4.01	39	12	12
82	4.68	26	57	27
82	4.43	31	59	37
82	4.34	33	51	39
82	4.3	27	57	42
82	4.3	29	59	37
82	3.94	26	60	29
81	4.58	40	52	16
81	4.33	40	53	13
81	4.11	44	47	12
81	4.04	47	52	13
81	3.83	43	54	12
81	3.81	50	50	21
80	4.04	27	31	18
80	3.87	31	25	19
80	3.66	36	27	19
80	3.48	30	23	18
80	3.46	22	29	23
80	3.44	34	30	21
79	5.14	18	67	24
79	4.62	17	62	30
79	4.4	15	59	31
79	3.97	14	57	23
79	3.83	15	56	25
79	3.77	12	54	31
78	3.92	29	45	45
78	3.91	25	40	43
78	3.66	31	45	43
78	3.65	27	43	44
78	3.61	29	33	44
78	3.53	24	44	43
77	4.15	49	35	30
77	4.09	52	39	30
77	3.83	51	37	30
77	3.74	47	39	31
77	3.46	50	39	30
77	3.43	51	36	32
76	4.46	45	50	38
76	3.47	42	50	35
76	3.43	46	51	41
76	3.34	44	51	41
76	3.31	44	54	36
76	3.29	43	49	37
75	4.25	13	45	22
75	3.86	21	48	27
75	3.79	14	43	30
75	3.78	20	47	25
75	3.74	12	44	30
75	3.53	12	47	24
74	3.89	20	46	20
74	3.88	15	52	29
74	3.81	17	50	19
74	3.76	19	44	20
74	3.67	18	46	19
74	3.57	15	47	20
73	4.11	38	36	43
73	3.94	36	37	41
73	3.25	34	33	45
73	3.21	35	33	43
73	3.08	34	29	46
73	3.06	36	31	40
72	4.04	42	22	22
72	3.56	42	19	25
72	3.42	42	16	34
72	3.33	40	15	33
72	3.3	42	16	28
72	3.04	41	16	31
71	3.78	53	48	35
71	3.75	49	47	39
71	3.53	51	44	37
71	3.51	48	49	36
71	3.49	52	41	34
71	3.46	50	49	37
70	3.9	25	33	33
70	3.54	24	36	38
70	3.47	24	36	36
70	3.44	26	34	37
70	3.25	23	34	36
70	3.17	21	37	37
69	3.57	35	31	11
69	3.47	32	30	11
69	3.2	34	35	11
69	3.19	31	34	11
68	3.57	41	34	14
68	3.34	42	36	14
68	3.21	36	39	12
68	3.17	39	36	17
68	3.14	39	36	15
68	3.13	44	32	13
67	3.36	43	46	25
67	3.25	45	48	26
67	3.11	44	49	28
67	3	45	47	23
67	2.92	41	47	27
66	3.57	31	20	26
66	3.45	29	21	26
66	3.4	31	22	28
66	3.35	28	24	23
66	3.26	30	17	25
66	3.23	32	24	28
65	4.69	19	64	20
65	4.25	21	64	20
65	4.18	19	66	20
65	3.68	20	61	19
65	3.37	17	64	20
65	3.33	23	65	21
64	4.06	35	52	47
64	4.03	38	54	45
64	3.74	39	51	42
64	3.45	34	55	46
64	3.44	39	54	43
64	2.95	41	51	44
63	4.31	20	42	46
63	3.56	18	40	44
63	3.26	19	42	39
63	3.14	17	42	43
63	3.11	18	42	41
63	3.09	22	38	44
62	3.62	26	67	28
62	3.6	28	64	30
62	3.48	28	61	31
62	3.37	30	64	28
62	3.34	28	67	31
62	3.11	30	69	30
61	3.62	34	36	27
61	3.48	31	36	27
61	3.19	36	34	27
61	2.88	29	35	28
61	2.72	32	30	27
61	2.72	32	33	26
60	3.33	38	20	22
60	3.29	35	21	25
60	3.14	39	20	20
60	2.96	42	18	20
60	2.89	37	22	23
60	2.86	38	22	18
59	3.82	48	27	16
59	3.72	51	25	16
59	3.28	49	27	14
59	3.18	49	25	15
59	3.08	49	27	11
59	3.08	47	23	18
58	4.61	18	54	37
58	3.62	16	51	38
58	3.6	18	52	39
58	3.54	14	49	38
58	3.38	23	53	39
58	3.21	21	52	39
57	3.64	34	16	35
57	3.36	41	21	36
57	3.3	40	16	36
57	3.18	39	19	35
57	3	42	17	37
57	2.93	37	17	36
56	3.67	27	36	26
56	3.62	24	35	27
56	3.6	26	37	31
56	3.44	23	38	27
56	3.35	26	34	29
55	3.99	28	35	19
55	3.86	34	38	19
55	3.5	32	39	18
55	3.17	29	33	17
55	3.17	30	39	20
55	3.08	30	37	20
54	3.44	33	43	22
54	3.38	29	45	29
54	3.21	30	45	26
54	2.7	30	43	23
54	2.66	32	44	24
53	3.64	22	27	34
53	3.52	19	29	34
53	3.27	25	26	35
53	2.94	27	27	36
53	2.89	29	25	35
52	3.81	48	38	12
52	3.67	44	40	11
52	3.61	45	38	11
52	2.89	42	42	15
52	2.72	46	40	13
52	2.52	40	42	15
51	3.78	34	37	46
51	3.55	37	36	48
51	2.93	39	36	47
50	4.11	26	40	32
50	3.62	25	45	33
50	3.36	23	42	33
50	3.13	26	42	35
50	2.9	22	44	34
50	2.54	28	40	31
49	3.54	25	21	37
49	3.1	24	24	37
49	2.95	25	22	39
49	2.72	27	21	40
48	3.25	20	32	43
48	3.16	16	31	43
48	2.85	20	28	41
48	2.41	17	31	45
47	3.71	27	34	47
47	3.39	31	33	51
47	2.95	27	35	50
47	2.67	30	37	50
47	2.63	30	39	50
47	2.54	29	34	51
46	3.77	54	44	19
46	3.38	54	42	18
46	3.18	54	43	16
46	3.18	54	42	20
46	2.5	54	42	23
46	2.47	56	40	19
45	3.2	35	41	29
45	2.93	34	43	28
45	2.51	36	36	29
45	2.47	33	46	25
44	3.86	30	50	48
44	3.41	29	47	47
44	3.4	31	48	49
44	3.03	31	51	46
43	3.27	22	35	42
43	2.44	19	33	47
43	2.38	18	36	46
42	3.42	45	36	19
42	3.25	46	36	21
42	3.02	46	34	18
42	2.75	45	33	20
41	4.07	20	55	19
41	3.46	17	57	18
41	3.27	24	57	19
41	3.22	20	57	19
41	3.15	22	57	18
40	3.29	17	46	28
40	3.08	14	46	27
40	2.76	20	42	27
40	2.75	21	44	28
40	2.55	19	44	29
39	3.5	35	22	16
39	3.09	33	20	16
39	2.97	38	21	15
38	3.37	37	20	40
38	2.78	35	24	43
38	2.77	39	22	40
38	2.76	39	20	43
38	2.75	37	22	43
37	3.46	28	50	36
37	3.4	29	48	38
37	3.15	28	50	39
37	2.93	31	51	36
36	3.61	24	17	38
36	3.27	27	15	37
36	3.09	27	17	40
36	2.97	24	18	36
35	3.32	52	23	19
35	3.23	53	26	19
35	3.07	51	27	19
35	2.9	49	27	18
34	3.63	34	14	37
34	3.13	32	15	37
34	2.9	32	15	34
34	2.88	35	18	37
33	3.7	44	52	25
33	3.63	42	55	26
33	3.41	46	53	27
33	3.12	48	51	27
33	2.88	44	54	26
32	4.04	53	24	37
32	3.86	48	24	34
32	2.93	51	24	35
31	3.36	45	42	36
31	2.94	44	43	39
31	2.81	45	40	35
31	2.76	46	44	35
30	4.03	25	32	50
30	3.15	25	32	48
30	2.82	25	30	46
30	2.65	25	31	44
29	3.23	39	28	44
29	3.22	36	28	45
29	2.88	36	28	41
29	2.87	38	29	42
29	2.84	35	28	43
29	2.75	38	31	44
28	3.24	35	27	29
28	3.21	35	21	27
28	2.68	35	23	27
27	3.08	28	23	47
27	2.83	31	23	47
27	2.77	30	28	45
27	2.65	29	26	46
27	2.59	29	26	48
26	3.69	32	36	18
26	3.54	34	36	18
26	3.48	36	35	18
26	3.46	34	34	18
26	2.73	34	34	20
26	2.7	32	34	19
25	3.03	24	24	15
25	2.8	25	22	15
25	2.72	27	22	15
24	3.9	32	47	17
24	3.78	33	47	15
24	3.75	31	49	16
23	3.65	50	29	35
23	3.38	51	29	32
23	3.17	50	31	34
22	3.79	31	30	31
22	3.2	31	30	33
22	2.84	31	29	35
21	3.35	43	60	24
21	3.25	42	58	28
21	3.21	42	59	26
21	2.82	39	55	26
20	3.36	28	28	41
20	3.12	27	26	41
19	3.38	42	43	17
19	3.21	45	46	19
18	2.85	26	32	25
18	2.83	28	33	23
18	2.82	28	32	25
17	3.22	51	37	36
17	3.19	53	35	35
17	2.75	53	39	38
16	3.24	24	48	27
16	3.24	24	50	25
16	3.03	24	45	26
15	3.52	18	60	19
15	3.42	14	57	19
15	3.24	14	60	19
15	3.06	16	60	20
14	3.44	25	54	28
14	3.21	27	50	27
14	3.16	26	52	28
13	3.64	46	25	27
13	3.08	49	25	29
13	2.85	52	23	28
12	3.84	24	49	18
12	3.41	23	45	20
12	2.87	25	43	21
12	2.81	23	48	21
11	3.38	35	34	24
11	2.77	32	32	24
10	3.39	24	20	28
10	2.84	28	19	29
10	2.68	27	21	28
9	3.38	39	38	46
9	2.93	38	38	44
9	2.6	42	39	47
9	2.48	42	37	47
8	3.57	50	31	30
8	3.05	50	32	32
7	3.47	35	56	32
7	2.51	32	57	32
6	4.05	55	26	27
6	3.38	52	24	26
6	3.2	50	26	27
5	3	42	25	27
5	2.92	43	26	30
4	3.12	7	38	21
4	2.84	8	38	18
4	2.83	9	41	17
3	3.67	20	45	42
3	3.51	18	45	40
3	2.51	17	48	41
3	2.35	19	47	42
2	3.38	53	23	23
2	3.3	53	25	22
2	3.1	53	21	25
1	3.57	35	38	24
1	3.02	36	40	23
1	2.46	37	38	23
