Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
29	143	2.16e-29	28.7	4.84	29	51	22	35.3	55.2	22.9	1.1e+03	33	57	24	353
28	26	1.19e-07	6.92	3.65	35	12	31	34.9	11	27.5	1.69e+03	35	12	31	690
27	23	8.34e-07	6.08	3.46	35	35	44	37.3	33.3	42.8	396	42	30	43	229
26	20	5.84e-06	5.23	3.85	56	33	25	54.9	33.9	24.5	589	56	33	25	399
25	19	1.14e-05	4.94	3.83	49	52	21	50.3	52.8	25.1	766	50	53	23	391
24	19	1.14e-05	4.94	3.92	13	58	26	13.1	58.2	24.2	885	13	58	26	533
23	17	4.53e-05	4.34	4.13	48	36	19	50.4	38.6	19.7	552	52	39	19	329
22	15	0.000189	3.72	3.63	15	44	12	15.1	42.6	12.4	681	15	42	12	420
21	15	0.000189	3.72	3.88	53	39	23	54.3	39.5	23	777	54	40	23	398
20	15	0.000189	3.72	3.71	44	39	17	44.6	36.7	17.3	1.01e+03	47	36	16	529
19	14	0.000396	3.4	3.26	50	36	21	51.6	35.1	20.3	631	54	34	19	339
18	14	0.000396	3.4	3.8	49	42	13	48.8	41.9	12.4	912	49	42	12	501
17	12	0.00183	2.74	3.68	16	23	36	17.3	23.8	35.2	499	16	23	36	356
16	12	0.00183	2.74	3.7	40	16	33	39.3	14.8	32.9	1.35e+03	37	12	34	488
15	11	0.00406	2.39	3.35	14	32	17	14.1	32.3	16.4	1.56e+03	14	32	17	1.11e+03
14	11	0.00406	2.39	4.6	41	31	29	40	31.7	29.5	752	41	31	29	576
13	11	0.00406	2.39	3.95	23	57	22	22.7	56.4	23.1	361	23	57	22	217
12	11	0.00406	2.39	3.52	49	40	23	47.9	38.3	24.2	817	49	40	23	391
11	11	0.00406	2.39	3.71	38	34	14	37.9	31.7	12.3	626	40	31	12	486
10	10	0.00922	2.04	4.56	34	44	19	34.3	44.3	19	2.22e+03	34	44	19	1.56e+03
9	10	0.00922	2.04	3.33	34	36	16	33.5	36.3	15.9	791	34	38	17	460
8	10	0.00922	2.04	3.54	11	56	23	11.1	54.7	24.3	831	11	56	23	518
7	10	0.00922	2.04	3.37	17	57	24	17.1	59.6	23.8	425	17	61	24	340
6	10	0.00922	2.04	2.84	9	43	34	8.51	42.3	32.5	334	9	43	34	270
5	9	0.0214	1.67	3.8	22	59	18	21.1	59.5	18.6	1.09e+03	22	59	18	662
4	9	0.0214	1.67	3.23	25	61	24	25.3	62.6	23.1	348	26	63	21	241
3	9	0.0214	1.67	3.35	51	43	14	53	43.3	15.3	663	51	43	14	464
2	9	0.0214	1.67	3.4	23	34	40	25	32.9	41.1	234	27	32	43	180
1	9	0.0214	1.67	3.06	41	31	35	40.8	31	36.4	247	42	32	38	185
