Cluster Index	Z	x	y	z	
77	4.69	49	31	27
77	4.22	54	32	25
77	4	50	30	29
77	3.96	53	30	28
77	3.84	47	30	29
77	3.63	50	32	29
76	4.73	48	29	11
76	3.16	45	30	11
75	3.9	35	62	29
75	3.63	36	65	28
75	3.58	35	64	30
74	3.82	47	27	18
74	3.7	45	27	16
74	3.64	47	25	17
73	3.55	44	29	37
73	3.26	42	30	37
72	4.45	43	29	26
72	4.09	41	30	25
71	3.79	50	32	23
71	3.68	53	30	24
70	4.14	53	28	29
70	3.78	50	27	27
70	3.73	52	27	27
69	4.07	42	30	40
69	3.9	41	32	39
68	3.82	43	38	45
68	3.55	41	38	46
67	4.33	34	65	33
67	3.79	36	68	34
66	4.25	33	30	22
66	3.59	32	29	20
65	3.97	12	32	26
64	4.22	39	32	26
64	3.64	38	32	28
63	3.71	26	27	21
63	3.58	27	31	20
63	3.31	26	29	21
62	3.83	43	27	11
62	3.26	43	24	11
61	3.56	23	61	22
61	3.5	25	62	24
61	3.26	25	60	22
60	3.2	23	37	28
60	3.14	21	37	26
59	3.87	47	25	26
58	4.4	35	10	29
58	3.6	35	11	31
57	3.86	44	52	29
57	3.61	42	51	29
57	3.54	42	53	28
56	3.36	36	57	33
55	4.07	26	35	21
54	4.04	34	25	27
54	3.59	35	27	26
53	3.66	38	29	38
52	3.72	24	60	19
51	3.7	34	59	36
51	3.56	34	59	38
50	3.7	38	57	31
49	4	46	24	19
49	3.69	48	23	19
48	3.79	30	32	23
47	3.74	49	22	22
46	3.76	39	29	24
46	3.3	37	27	26
45	4.57	43	30	23
44	3.76	21	28	27
44	3.28	22	28	29
43	3.74	45	35	43
43	3.63	47	35	44
42	3.81	25	28	30
41	4.07	40	30	30
40	3.6	31	29	27
40	3.38	33	28	27
39	3.51	30	64	19
39	3.22	30	62	21
38	4.02	25	20	28
37	3.65	13	56	20
36	4.26	33	11	29
35	3.56	41	35	43
34	3.38	22	62	37
33	4.33	22	30	34
32	4.23	42	34	26
31	3.64	26	65	20
31	3.4	26	64	18
30	4.06	20	10	26
29	3.22	46	22	36
28	3.38	48	18	26
28	3.23	47	16	27
27	3.75	46	30	45
27	3.29	44	29	45
26	4.22	38	33	32
25	3.67	20	43	32
24	3.9	45	35	22
24	3.78	43	36	22
23	4.03	34	56	31
22	4.58	16	33	14
21	3.98	27	61	31
20	3.28	39	62	31
19	3.93	20	22	29
18	4	47	32	43
18	3.43	49	32	41
17	3.75	51	57	28
16	3.7	20	37	39
16	3.37	22	37	39
15	3.84	27	57	32
14	4.07	30	30	50
14	3.3	30	28	50
13	3.52	43	29	13
12	3.2	32	19	13
12	3.11	33	17	13
11	3.44	48	24	11
10	4.55	45	58	30
9	3.61	33	65	21
8	3.86	51	27	24
7	3.72	42	22	21
6	3.17	32	15	12
5	3.82	37	28	48
4	3.38	39	24	30
3	3.54	23	27	47
2	4.26	55	25	21
1	4.03	53	59	27
