Cluster Index	Z	x	y	z	
14	5.46	27	29	35
14	5.31	35	27	33
14	5.3	32	27	32
14	5.28	33	29	30
14	5.27	31	19	36
14	5.21	32	22	35
13	5.83	19	26	33
13	5.64	14	21	35
13	5.48	16	21	34
13	5.06	19	22	33
13	4.76	21	15	37
13	4.37	13	26	32
12	6.59	51	25	33
12	5.56	50	23	37
12	5.26	46	25	34
12	4.81	49	20	36
12	4.61	45	24	37
12	4.25	46	31	34
11	5.59	50	43	11
11	5.37	51	46	15
11	5.26	49	44	16
11	4.95	54	43	18
11	4.88	53	40	15
11	4.4	54	44	21
10	5.5	35	62	33
10	4.6	36	62	26
10	4.41	35	64	28
10	4.31	37	65	30
10	4.12	38	66	32
10	4.07	39	62	32
9	4.72	11	33	22
9	4.32	15	32	23
9	4.28	14	30	22
9	3.85	11	30	24
9	3.82	10	38	16
9	3.72	8	30	24
8	5.28	32	26	9
8	3.9	36	26	14
8	3.8	29	27	11
8	3.77	28	27	14
8	3.6	29	24	13
7	4.75	11	42	18
7	4.55	16	46	14
7	3.99	12	44	16
7	3.75	18	45	13
7	3.29	18	46	10
6	5.06	49	55	23
6	4.47	45	55	19
6	4.29	43	53	19
5	4.9	55	30	22
5	4.75	52	32	22
5	4.11	54	32	24
5	4.06	55	34	21
5	3.84	57	39	21
5	3.46	54	37	23
4	5.32	23	50	37
4	4.82	23	54	35
4	4.1	23	47	38
4	3.32	26	53	36
3	4.96	39	39	17
3	4.77	42	40	17
3	4.08	40	42	16
3	3.73	42	40	21
2	4.39	23	42	18
2	4.02	23	38	16
2	3.85	25	41	16
2	3.51	21	38	19
1	4.24	29	61	31
1	4.05	29	58	33
