Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
10	152	5.1e-09	8.29	5.52	50	49	12	49.5	45.4	13.7	91.3	49	43	11	39.3
9	130	5.96e-08	7.22	5.67	38	59	14	33.7	53.5	14.8	186	32	44	15	61.8
8	118	1.79e-07	6.75	4.81	10	38	16	12.2	41.4	16.6	65.9	14	46	13	28.7
7	94	2.62e-06	5.58	5.79	35	62	33	36.2	63.1	31.4	64.3	38	66	32	29.3
6	94	2.62e-06	5.58	4.54	13	29	23	13.6	31.2	23	119	11	31	23	58.5
5	85	7.69e-06	5.11	4.6	16	56	24	15.9	56.4	21.1	100	16	55	20	51.3
4	72	3.88e-05	4.41	5.6	19	26	33	16.2	23.1	34.4	128	15	21	35	56.2
3	40	0.00344	2.46	5.73	20	32	16	19.1	36.4	14.8	58	20	32	16	29.7
2	32	0.0125	1.9	5.54	22	53	12	22.2	52.9	13.8	67.7	22	51	11	47.5
1	25	0.0418	1.38	4.83	44	15	22	44.1	16	20.7	95.1	44	16	20	60.8
