Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
8	78	1.82e-05	4.74	4.21	33	21	32	37	23.8	31.6	150	33	21	32	99.5
7	57	0.000286	3.54	5.08	42	47	16	45.5	47.8	14.7	239	43	51	14	106
6	51	0.000666	3.18	5.46	45	39	12	43.2	39.3	13.4	164	43	40	14	93.4
5	45	0.00161	2.79	5.29	34	52	15	34.5	54.6	16	240	32	53	16	112
4	39	0.00402	2.4	4.02	36	68	17	33.2	66.6	17.6	213	33	66	17	105
3	37	0.00552	2.26	5.35	40	66	33	38.1	65.6	32.1	171	38	66	32	85.3
2	30	0.0175	1.76	4.21	33	18	42	33.3	20	41.5	210	33	19	43	151
1	27	0.0293	1.53	4.69	34	32	7	37	30	7.1	567	34	32	7	316
