Cluster Index	Z	x	y	z	
31	9.55	44	16	30
31	9.32	47	16	22
31	9.27	27	21	39
31	9.15	45	46	35
31	8.9	22	18	31
31	8.8	43	19	31
30	5.13	32	44	30
30	4.65	33	40	31
30	4.15	30	35	33
30	4.13	26	40	30
30	4.02	29	48	33
30	4.02	29	51	29
29	5.69	50	51	29
29	5.19	43	52	26
29	4.95	50	51	26
29	4.89	40	53	18
29	4.86	48	43	27
29	4.78	38	53	19
28	5.25	46	22	6
28	4.83	52	29	16
28	4.66	44	21	7
28	4.52	51	27	11
28	4.39	48	26	10
28	4.33	51	27	14
27	4.65	12	43	15
27	4.31	23	48	12
27	4.28	13	45	13
27	4.11	15	46	13
27	3.78	21	50	15
27	3.52	25	44	15
26	4.17	39	23	8
26	4.16	37	29	8
26	4.14	37	25	9
26	3.75	32	24	10
26	3.74	39	20	10
26	3.41	39	26	12
25	5.09	28	18	9
25	4.92	22	19	8
25	4.23	24	19	9
25	4.09	19	20	12
25	3.89	27	20	8
25	3.89	22	17	13
24	5.22	33	28	15
24	4.73	30	28	13
24	4.48	34	29	13
24	3.7	35	28	16
23	4.63	39	38	33
23	4.18	38	42	33
23	4	36	39	30
23	3.67	39	41	30
23	3.41	38	36	29
23	2.89	38	39	27
22	5.95	49	57	29
22	4.73	47	56	28
22	3.41	48	54	32
22	3.13	45	57	31
22	3.06	49	53	37
21	4.88	54	41	24
21	4.15	49	35	23
21	3.54	51	36	22
21	2.73	52	40	25
21	2.55	54	40	26
21	2.46	49	34	26
20	4.39	25	55	18
20	4.35	29	57	16
20	4.27	26	53	18
20	3.75	23	52	16
20	3.65	23	58	18
20	2.97	26	58	17
19	5.38	48	56	35
19	4.05	46	56	34
19	3.54	43	61	36
19	3.26	43	59	36
19	3.16	47	54	38
19	2.97	45	58	35
18	5.64	14	20	12
18	4.38	21	14	11
18	3.94	21	12	15
18	3.69	18	15	13
18	3.53	16	18	10
18	3.08	23	12	14
17	3.83	22	52	23
17	3.54	22	50	21
17	3.24	19	53	22
17	2.83	25	46	20
17	2.71	24	48	21
16	4.41	57	33	18
16	4.36	57	32	20
16	4.32	56	34	21
16	3.51	55	32	21
15	3.55	26	23	29
15	3.4	26	23	26
15	3.3	22	25	30
15	3.26	21	24	28
14	4.6	28	68	28
14	4.03	25	69	28
14	3.96	23	68	27
13	4.56	17	51	11
13	3.43	15	53	16
13	3.03	13	51	17
12	4.28	18	58	29
12	3.39	20	58	31
12	3.17	20	57	28
12	2.88	18	56	31
11	3.56	22	32	43
11	3.51	21	32	41
11	3.28	21	32	37
10	3.9	31	64	38
10	3.76	29	65	36
10	2.91	28	63	38
10	2.67	31	65	35
10	2.4	26	61	39
9	3.58	26	31	39
9	3.15	26	33	37
9	2.76	27	31	42
9	2.59	25	32	43
8	4.79	48	49	17
8	3.64	50	48	19
8	3.36	47	45	21
7	4.42	16	56	19
7	3.67	17	54	19
6	3.61	31	58	45
6	3.06	27	58	43
6	2.82	29	59	43
6	2.56	25	58	42
5	4.16	23	25	23
5	3.74	27	26	23
5	3.52	24	27	24
5	2.39	23	23	24
4	4.29	23	23	16
3	4	34	35	33
3	3.91	35	37	33
3	2.5	36	34	34
2	3.51	17	23	9
2	3.04	17	22	11
2	2.51	15	22	11
1	3.18	40	47	20
1	3.15	38	47	21
