Cluster Index	Z	x	y	z	
25	5.14	46	20	23
25	5.1	38	20	23
25	4.98	44	14	27
25	4.84	42	16	20
25	4.76	46	22	22
25	4.7	41	21	41
24	5.07	24	16	18
24	4.82	27	13	23
24	4.71	20	15	23
24	4.69	22	18	31
24	4.58	18	18	20
24	4.28	19	15	20
23	4.52	17	21	27
23	4.14	18	27	30
23	3.44	17	28	28
23	3.08	19	19	25
23	3.08	14	27	29
23	2.99	16	21	23
22	4.46	26	22	39
22	4.27	24	26	37
22	4.23	23	28	37
22	4.19	25	23	37
22	3.69	23	24	38
22	3.19	29	20	41
21	4.41	19	44	35
21	4.34	18	45	42
21	3.89	16	48	34
21	3.57	14	46	39
21	3.27	17	45	34
21	3.22	16	44	36
20	4.21	27	48	47
20	4.13	32	43	47
20	4.07	21	44	45
20	3.88	30	46	49
20	3.77	26	46	48
20	3.63	23	46	46
19	4.31	43	48	34
19	4.29	47	49	35
19	4.25	50	49	36
19	3.84	45	50	33
19	3.79	50	50	38
19	3.27	42	46	35
18	4.83	48	40	43
18	4.27	47	43	44
18	3.75	45	44	44
18	3.51	52	41	42
18	3.51	47	45	43
18	3.29	48	35	43
17	3.69	11	28	27
17	3.4	12	32	24
17	3.34	9	30	27
17	2.86	15	29	25
17	2.75	12	30	25
17	2.6	13	28	24
16	4.92	11	42	33
16	2.91	9	41	33
16	2.83	12	42	36
16	2.79	14	41	35
16	2.68	15	41	33
15	3.84	21	27	18
15	3.62	19	23	19
15	3.21	21	28	16
15	2.89	20	25	20
14	3.39	32	50	42
14	3.15	31	52	42
14	2.94	33	51	39
14	2.81	30	48	42
14	2.76	35	52	40
13	3.98	40	28	19
13	3.42	38	30	21
13	3.41	42	30	18
13	2.57	43	28	18
12	3.51	50	25	20
12	3.03	49	29	23
12	2.87	49	21	20
11	3.67	52	45	31
11	3.33	50	43	32
11	3.1	52	43	31
11	3.05	54	43	32
10	3.58	48	40	29
10	3.52	50	38	30
10	3.14	47	38	31
10	2.82	49	43	29
10	2.57	46	41	31
9	3.59	25	19	22
9	3.3	23	20	21
8	3.94	53	34	24
8	3.11	50	34	24
7	4.06	52	40	34
7	3.08	54	40	33
7	2.69	51	38	32
6	4.51	41	44	43
6	3.51	42	45	45
6	3.15	42	43	46
5	3.93	45	24	21
5	3.46	44	25	19
4	2.86	24	20	11
4	2.81	24	19	8
3	3.82	35	21	19
3	2.98	30	21	18
2	3.17	44	29	33
2	2.63	48	27	33
1	4.03	53	33	38
1	3.66	54	36	39
1	2.78	52	34	40
1	2.68	51	37	42
