Cluster Index	Z	x	y	z	
26	9.11	47	21	20
26	9	44	18	20
26	8.59	49	18	22
26	8.19	40	14	21
26	8.19	45	22	20
26	8.13	44	18	22
25	7.97	17	18	22
25	7.89	18	16	21
25	7.8	20	14	27
25	7.23	19	18	29
25	7.16	20	20	19
25	7.15	15	20	21
24	5.84	22	22	34
24	4.42	25	23	38
24	4.32	24	21	35
24	4.01	27	17	41
24	3.99	24	24	36
24	3.93	21	20	35
23	7.13	45	47	34
23	4.11	49	49	36
23	3.73	48	46	32
23	3.24	42	46	32
22	4.78	19	45	35
22	3.7	15	48	35
22	3.07	16	43	36
22	3.01	16	45	36
21	6.85	21	28	18
20	4.25	29	57	44
20	3.95	29	62	41
20	3.28	30	64	40
19	5.18	21	61	36
19	2.81	18	56	38
19	2.78	23	60	35
19	2.7	18	55	35
19	2.46	20	57	35
18	4.6	19	35	42
18	4.32	21	34	44
18	3.62	23	34	47
18	3.28	16	34	44
17	3.76	18	63	24
17	3.12	20	62	23
17	2.88	20	62	26
17	2.81	21	60	24
17	2.51	21	65	24
17	2.46	19	60	24
16	4.25	14	37	31
16	3.52	18	36	31
16	3.46	16	36	31
16	2.89	17	34	30
16	2.58	19	34	31
15	3.68	16	39	41
15	3.42	18	38	42
15	3.18	16	35	40
15	2.81	16	36	44
14	3.76	23	39	48
14	3.31	20	39	46
14	3.1	19	40	44
14	3.04	16	41	43
13	4.68	44	63	23
13	4.24	44	62	21
13	3.52	43	66	21
13	3.07	43	63	19
12	4.66	17	54	31
12	3.07	14	54	32
12	2.85	14	52	33
12	2.59	19	55	28
11	4.67	22	38	38
11	4.46	19	36	39
10	3.75	42	34	36
10	3.64	42	37	34
10	3.04	41	36	32
10	2.99	39	36	37
10	2.8	42	36	37
9	2.92	27	21	23
9	2.79	29	20	24
9	2.78	30	22	24
8	4.67	25	44	43
8	2.62	26	42	42
7	3.86	14	37	34
7	2.41	12	37	35
6	4.07	48	32	40
6	3.4	49	34	38
6	3.08	49	33	35
5	3.63	22	26	36
5	3.17	22	29	37
4	4.52	26	65	36
4	3.89	25	63	37
3	3.92	30	36	34
3	3.44	30	34	32
3	2.84	28	34	35
2	4.17	34	40	14
2	3.08	34	44	14
1	3.68	48	27	27
1	3.4	49	24	28
