Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
13	64	5.79e-13	12.2	4.16	16	45	37	17.8	46	36.5	1.71e+03	16	45	37	892
12	54	2.66e-11	10.6	4.21	23	11	28	22.4	13.2	24.4	2.04e+03	23	11	28	692
11	52	5.88e-11	10.2	4.65	20	17	18	18.3	21.1	19.9	2.47e+03	19	18	18	817
10	45	1.03e-09	8.99	3.97	43	48	34	45.9	47.4	34.5	1.64e+03	47	48	36	995
9	40	8.68e-09	8.06	4.16	46	18	27	44.3	16.6	26.2	1.33e+03	43	14	26	627
8	36	5.96e-08	7.22	4.38	23	13	32	22.6	16.8	30.9	1.72e+03	23	13	32	747
7	33	1.79e-07	6.75	4.97	46	20	22	44.6	19.2	21.8	1.6e+03	46	20	22	698
6	29	1.37e-06	5.86	3.97	23	28	37	24.4	25	37.7	1.75e+03	23	27	37	870
5	23	2.75e-05	4.56	3.76	42	19	30	42.7	19.1	30.5	1.17e+03	44	16	30	654
4	20	0.000137	3.86	3.44	10	27	30	10.4	27.3	31.8	1.01e+03	10	28	31	619
3	18	0.00042	3.38	3.84	43	24	36	43.4	25.6	36.7	1.28e+03	44	24	36	667
2	15	0.00243	2.61	3.56	51	25	21	49.7	24.1	20.5	1.32e+03	51	26	21	752
1	15	0.00243	2.61	3.28	34	17	12	34.5	18.5	15	1.11e+03	33	19	16	779
