Cluster Index	Z	x	y	z	
10	3.91	17	15	15
10	3.58	16	21	18
10	3.58	20	16	11
10	3.38	16	18	15
10	3.33	20	21	12
10	3.23	22	15	11
9	3.48	16	20	28
9	3.25	16	24	26
9	3.15	16	25	32
9	3.01	12	23	25
9	2.82	16	21	26
9	2.81	19	26	30
8	3.23	15	19	21
8	3.08	17	17	22
8	2.91	18	17	20
8	2.65	19	15	18
8	2.65	17	20	23
8	2.51	20	18	20
7	3.31	16	25	18
7	3.07	15	25	16
7	2.96	13	24	16
6	2.98	10	25	24
6	2.95	11	27	26
6	2.84	14	26	22
6	2.83	12	26	24
5	3.39	24	24	24
5	3.37	22	23	26
5	2.95	25	26	23
5	2.81	24	22	22
4	3.41	15	27	38
4	2.98	15	25	37
4	2.93	14	23	38
4	2.72	13	27	39
4	2.67	13	28	41
3	3.16	12	31	21
3	2.84	11	34	23
3	2.7	12	28	20
2	3.11	29	14	18
2	3.08	28	9	19
2	2.6	31	12	17
1	3.83	31	15	10
1	3.42	28	15	10
1	3.2	30	13	14
1	2.79	30	15	13
