Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (vox)	Z-MAX Y (vox)	Z-MAX Z (vox)	Z-COG X (vox)	Z-COG Y (vox)	Z-COG Z (vox)	COPE-MAX	COPE-MAX X (vox)	COPE-MAX Y (vox)	COPE-MAX Z (vox)	COPE-MEAN
43	314	1.55e-39	38.8	4.89	19	46	33	18.5	47.6	36	4.06e+03	19	44	44	1.16e+03
42	272	1.07e-35	35	4.42	19	23	18	21.8	17.2	23.6	3.73e+03	20	18	18	1.14e+03
41	126	2.33e-20	19.6	4.43	46	47	33	48.4	45.8	31.9	2.71e+03	53	45	26	1.17e+03
40	124	4.08e-20	19.4	4.23	41	38	35	38.3	37.7	29.6	3.04e+03	33	41	31	1.15e+03
39	118	2.22e-19	18.7	3.76	32	51	40	33.1	48.2	39.3	2.31e+03	32	51	40	1.06e+03
38	109	2.99e-18	17.5	4.25	47	58	34	46.7	50.3	37.7	3.11e+03	49	51	39	1.36e+03
37	72	3.11e-13	12.5	4.73	24	26	37	23.5	25	37.4	2.12e+03	27	17	41	1.16e+03
36	53	2.53e-10	9.6	3.77	31	36	32	31.9	34.2	32.7	2.76e+03	32	32	32	1.25e+03
35	53	2.53e-10	9.6	3.71	45	14	25	44.7	15.2	24.2	2.48e+03	44	14	26	1.37e+03
34	50	7.81e-10	9.11	3.58	48	52	33	49.9	51	28.6	2.32e+03	51	50	23	1.13e+03
33	42	1.77e-08	7.75	3.44	21	42	31	26.6	41.1	29.1	2.71e+03	28	41	31	1.1e+03
32	42	1.77e-08	7.75	4.03	44	40	34	45.1	39.7	36.1	1.92e+03	46	40	36	981
31	34	4.77e-07	6.32	3.5	23	58	18	23.1	55.8	18.5	3.88e+03	21	55	18	1.68e+03
30	34	4.77e-07	6.32	3.68	39	22	11	40.7	20	10.9	1.73e+03	47	20	11	1.12e+03
29	34	4.77e-07	6.32	3.64	50	35	29	50.6	35.9	29.1	3.18e+03	49	38	28	1.57e+03
28	33	7.75e-07	6.11	3.84	41	31	19	42.4	29.3	16.6	1.62e+03	45	26	16	1.01e+03
27	33	7.75e-07	6.11	4.49	39	24	30	38.3	22	28.5	1.98e+03	39	24	30	1.15e+03
26	33	7.75e-07	6.11	3.63	55	42	19	51.9	43.9	18.3	3.42e+03	53	45	21	1.02e+03
25	31	1.85e-06	5.73	4.04	47	25	16	48.5	22.8	14.1	1.85e+03	49	25	14	1.18e+03
24	31	1.85e-06	5.73	3.54	37	22	32	35.3	21.8	33.8	2.13e+03	33	20	35	1.34e+03
23	30	2.86e-06	5.54	3.41	17	35	34	14.7	34.3	36.8	1.71e+03	12	34	37	917
22	29	4.53e-06	5.34	3.33	35	18	15	30.6	19.4	17	1.78e+03	30	19	19	1.23e+03
21	24	4.71e-05	4.33	3.65	46	57	26	47.5	56.4	28.1	1.31e+03	50	57	27	901
20	23	7.68e-05	4.11	3.51	43	19	21	44.4	19.6	21.3	1.73e+03	46	21	22	906
19	22	0.000126	3.9	3.72	44	25	36	42.9	24.1	36.5	1.61e+03	44	25	36	938
18	19	0.000583	3.23	3.36	14	31	41	14.6	28.1	38.4	1.48e+03	13	28	39	875
17	19	0.000583	3.23	2.96	28	21	33	28.3	20.8	34	2.41e+03	28	20	34	1.35e+03
16	16	0.00293	2.53	3.42	32	38	45	32.4	39.6	46.5	1.67e+03	33	41	48	1.05e+03
15	15	0.00513	2.29	3.43	26	41	34	26.1	41.6	34.5	829	26	41	34	626
14	15	0.00513	2.29	3.38	17	49	15	15.5	46.7	15.8	1.74e+03	14	46	16	1.22e+03
13	14	0.00908	2.04	3.55	27	18	13	27.2	18.3	13.7	1.33e+03	24	19	12	1.04e+03
12	14	0.00908	2.04	3.79	41	15	31	39.8	13.2	31	2.53e+03	40	13	32	1.53e+03
11	14	0.00908	2.04	3.27	39	20	15	38.4	19.1	14.9	2.19e+03	36	15	14	1.11e+03
10	13	0.0163	1.79	3.23	52	32	26	51.2	30.4	25.9	1.51e+03	51	31	28	869
9	13	0.0163	1.79	3.87	37	13	24	37.3	13.3	24.3	2.3e+03	37	13	24	1.08e+03
8	13	0.0163	1.79	2.95	27	37	37	25.3	37.7	35.9	1.02e+03	27	37	37	600
7	13	0.0163	1.79	3.54	20	48	20	19.8	47.8	21.7	2.81e+03	21	47	19	1.41e+03
6	12	0.0295	1.53	2.88	32	46	29	31.2	44.4	29.3	4.03e+03	32	42	29	2.35e+03
5	12	0.0295	1.53	4.28	42	55	35	42.7	54.3	33.8	1.04e+03	42	55	35	634
4	12	0.0295	1.53	3.33	54	42	26	53.5	40	27.2	2.26e+03	52	41	26	1.78e+03
3	12	0.0295	1.53	3.56	13	42	31	12	43.1	29.7	1.95e+03	13	43	27	1.16e+03
2	12	0.0295	1.53	3.33	23	37	26	26.1	37.5	25.3	1.18e+03	29	38	27	925
1	12	0.0295	1.53	2.98	41	18	30	43	17.9	28.9	2.32e+03	44	16	30	912
